joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
-0.0078125, 0.0, 1.0, -1.0, 
-0.0078125, 0.0, 2.0, -1.0, 
-0.0078125, 0.0, 3.0, -1.0, 
-0.0078125, 0.0, 4.0, -1.0, 
-0.0078125, 0.0, 5.0, -1.0, 
-0.0078125, 0.0, 6.0, -1.0, 
-0.0078125, 0.0, 7.0, -1.0, 
-0.0078125, 0.0, 8.0, -1.0, 
-0.0078125, 0.0, 9.0, -1.0, 
-0.0078125, 0.0, 10.0, -1.0, 
-0.0078125, 0.0, 11.0, -1.0, 
-0.0078125, 0.0, 12.0, -1.0, 
-0.0078125, 0.0, 13.0, -1.0, 
-0.0078125, 0.0, 14.0, -1.0, 
-0.0078125, 0.0, 15.0, -1.0, 
-0.0078125, 0.0, 16.0, -1.0, 
-0.0078125, 0.0, 17.0, -1.0, 
-0.0078125, 0.0, 18.0, -1.0, 
-0.0078125, 0.0, 19.0, -1.0, 
-0.0078125, 0.0, 20.0, -1.0, 
-0.0078125, 0.0, 21.0, -1.0, 
-0.0078125, 0.0, 22.0, -1.0, 
-0.0078125, 0.0, 23.0, -1.0, 
-0.0078125, 0.0, 24.0, -1.0, 
-0.0078125, 0.0, 25.0, -1.0, 
-0.0078125, 0.0, 26.0, -1.0, 
-0.0078125, 0.0, 27.0, -1.0, 
-0.0078125, 0.0, 28.0, -1.0, 
-0.0078125, 0.0, 29.0, -1.0, 
-0.0078125, 0.0, 30.0, -1.0, 
-0.0078125, 0.0, 31.0, -1.0, 
-0.0078125, 0.0, 32.0, -1.0, 
-0.03125, 0.0, 33.0, -1.0, 
-0.0703125, 0.0, 34.0, -1.0, 
-0.0859375, 0.0, 35.0, -1.0, 
-0.125, 0.007874015718698502, 36.0, -1.0, 
-0.125, 0.007874015718698502, 37.0, -1.0, 
-0.1484375, 0.007874015718698502, 38.0, -1.0, 
-0.1484375, 0.007874015718698502, 39.0, -1.0, 
-0.1484375, 0.007874015718698502, 40.0, -1.0, 
-0.1484375, 0.007874015718698502, 41.0, -1.0, 
-0.171875, 0.007874015718698502, 42.0, -1.0, 
-0.1484375, 0.007874015718698502, 43.0, -1.0, 
-0.15625, 0.031496062874794006, 44.0, -1.0, 
-0.171875, 0.031496062874794006, 45.0, -1.0, 
-0.171875, 0.031496062874794006, 46.0, -1.0, 
-0.171875, 0.007874015718698502, 47.0, -1.0, 
-0.1875, 0.031496062874794006, 48.0, -1.0, 
-0.21875, 0.07086614519357681, 49.0, -1.0, 
-0.2265625, 0.08661417663097382, 50.0, -1.0, 
-0.25, 0.11023622006177902, 51.0, -1.0, 
-0.265625, 0.11023622006177902, 52.0, -1.0, 
-0.265625, 0.11023622006177902, 53.0, -1.0, 
-0.2890625, 0.11023622006177902, 54.0, -1.0, 
-0.3046875, 0.12598425149917603, 55.0, -1.0, 
-0.3046875, 0.12598425149917603, 56.0, -1.0, 
-0.3046875, 0.12598425149917603, 57.0, -1.0, 
-0.3046875, 0.12598425149917603, 58.0, -1.0, 
-0.3046875, 0.12598425149917603, 59.0, -1.0, 
-0.3046875, 0.12598425149917603, 60.0, -1.0, 
-0.3046875, 0.12598425149917603, 61.0, -1.0, 
-0.3046875, 0.12598425149917603, 62.0, -1.0, 
-0.3046875, 0.12598425149917603, 63.0, -1.0, 
-0.3046875, 0.12598425149917603, 64.0, -1.0, 
-0.3046875, 0.14960630238056183, 65.0, -1.0, 
-0.3046875, 0.14960630238056183, 66.0, -1.0, 
-0.3046875, 0.14960630238056183, 67.0, -1.0, 
-0.3046875, 0.14960630238056183, 68.0, -1.0, 
-0.3046875, 0.14960630238056183, 69.0, -1.0, 
-0.3046875, 0.14960630238056183, 70.0, -1.0, 
-0.3046875, 0.14960630238056183, 71.0, -1.0, 
-0.3046875, 0.14960630238056183, 72.0, -1.0, 
-0.3046875, 0.14960630238056183, 73.0, -1.0, 
-0.3046875, 0.14960630238056183, 74.0, -1.0, 
-0.3046875, 0.14960630238056183, 75.0, -1.0, 
-0.3046875, 0.14960630238056183, 76.0, -1.0, 
-0.3046875, 0.14960630238056183, 77.0, -1.0, 
-0.3046875, 0.14960630238056183, 78.0, -1.0, 
-0.3046875, 0.12598425149917603, 79.0, -1.0, 
-0.3046875, 0.11023622006177902, 80.0, -1.0, 
-0.3046875, 0.11023622006177902, 81.0, -1.0, 
-0.3046875, 0.11023622006177902, 82.0, -1.0, 
-0.3046875, 0.11023622006177902, 83.0, -1.0, 
-0.3046875, 0.11023622006177902, 84.0, -1.0, 
-0.3046875, 0.11023622006177902, 85.0, -1.0, 
-0.3046875, 0.11023622006177902, 86.0, -1.0, 
-0.3046875, 0.11023622006177902, 87.0, -1.0, 
-0.3046875, 0.11023622006177902, 88.0, -1.0, 
-0.3046875, 0.11023622006177902, 89.0, -1.0, 
-0.3046875, 0.11023622006177902, 90.0, -1.0, 
-0.3046875, 0.08661417663097382, 91.0, -1.0, 
-0.3046875, 0.08661417663097382, 92.0, -1.0, 
-0.3046875, 0.07086614519357681, 93.0, -1.0, 
-0.3046875, 0.07086614519357681, 94.0, -1.0, 
-0.3046875, 0.04724409431219101, 95.0, -1.0, 
-0.3046875, 0.031496062874794006, 96.0, -1.0, 
-0.3046875, 0.031496062874794006, 97.0, -1.0, 
-0.3046875, 0.031496062874794006, 98.0, -1.0, 
-0.3046875, 0.031496062874794006, 99.0, -1.0, 
-0.3046875, 0.031496062874794006, 100.0, -1.0, 
-0.3046875, 0.0, 101.0, -1.0, 
-0.3046875, 0.0, 102.0, -1.0, 
-0.3046875, 0.0, 103.0, -1.0, 
-0.3046875, 0.0, 104.0, -1.0, 
-0.3046875, 0.0, 105.0, -1.0, 
-0.3046875, 0.0, 106.0, -1.0, 
-0.3046875, 0.0, 107.0, -1.0, 
-0.3046875, 0.0, 108.0, -1.0, 
-0.3046875, 0.0, 109.0, -1.0, 
-0.3046875, 0.0, 110.0, -1.0, 
-0.3046875, 0.0, 111.0, -1.0, 
-0.3046875, 0.0, 112.0, -1.0, 
-0.3046875, 0.0, 113.0, -1.0, 
-0.3046875, 0.0, 114.0, -1.0, 
-0.3046875, 0.0, 115.0, -1.0, 
-0.3046875, 0.0, 116.0, -1.0, 
-0.3046875, 0.0, 117.0, -1.0, 
-0.3046875, 0.0, 118.0, -1.0, 
-0.3046875, 0.0, 119.0, -1.0, 
-0.3046875, 0.0, 120.0, -1.0, 
-0.3046875, 0.0, 121.0, -1.0, 
-0.3046875, 0.0, 122.0, -1.0, 
-0.3046875, 0.0, 123.0, -1.0, 
-0.3046875, 0.0, 124.0, -1.0, 
-0.3046875, 0.0, 125.0, -1.0, 
-0.3046875, 0.0, 126.0, -1.0, 
-0.3046875, 0.0, 127.0, -1.0, 
-0.3046875, 0.0, 128.0, -1.0, 
-0.3046875, 0.0, 129.0, -1.0, 
-0.3046875, 0.0, 130.0, -1.0, 
-0.3046875, 0.0, 131.0, -1.0, 
-0.3046875, -0.0078125, 132.0, -1.0, 
-0.3046875, -0.0078125, 133.0, -1.0, 
-0.3046875, -0.0078125, 134.0, -1.0, 
-0.3046875, -0.0078125, 135.0, -1.0, 
-0.3046875, -0.0078125, 136.0, -1.0, 
-0.3046875, -0.0078125, 137.0, -1.0, 
-0.3046875, -0.0078125, 138.0, -1.0, 
-0.3046875, -0.0078125, 139.0, -1.0, 
-0.3046875, -0.0078125, 140.0, -1.0, 
-0.3046875, -0.0078125, 141.0, -1.0, 
-0.3046875, -0.0078125, 142.0, -1.0, 
-0.3046875, -0.0078125, 143.0, -1.0, 
-0.3046875, -0.0078125, 144.0, -1.0, 
-0.3046875, -0.0078125, 145.0, -1.0, 
-0.3046875, -0.0078125, 146.0, -1.0, 
-0.3046875, -0.0078125, 147.0, -1.0, 
-0.3046875, -0.0078125, 148.0, -1.0, 
-0.3046875, -0.0078125, 149.0, -1.0, 
-0.3046875, -0.0078125, 150.0, -1.0, 
-0.3046875, -0.0078125, 151.0, -1.0, 
-0.3046875, -0.0078125, 152.0, -1.0, 
-0.3046875, -0.0078125, 153.0, -1.0, 
-0.3046875, -0.0078125, 154.0, -1.0, 
-0.3046875, -0.0078125, 155.0, -1.0, 
-0.3046875, -0.0078125, 156.0, -1.0, 
-0.3046875, -0.0078125, 157.0, -1.0, 
-0.3046875, -0.0078125, 158.0, -1.0, 
-0.3046875, -0.03125, 159.0, -1.0, 
-0.3046875, -0.03125, 160.0, -1.0, 
-0.3046875, -0.0546875, 161.0, -1.0, 
-0.3046875, -0.03125, 162.0, -1.0, 
-0.3046875, -0.03125, 163.0, -1.0, 
-0.3046875, -0.03125, 164.0, -1.0, 
-0.3046875, -0.0546875, 165.0, -1.0, 
-0.3046875, -0.0546875, 166.0, -1.0, 
-0.3046875, -0.03125, 167.0, -1.0, 
-0.3046875, -0.03125, 168.0, -1.0, 
-0.3046875, -0.03125, 169.0, -1.0, 
-0.3046875, -0.0546875, 170.0, -1.0, 
-0.3046875, -0.0546875, 171.0, -1.0, 
-0.3046875, -0.0546875, 172.0, -1.0, 
-0.3046875, -0.0546875, 173.0, -1.0, 
-0.3046875, -0.0546875, 174.0, -1.0, 
-0.3046875, -0.0546875, 175.0, -1.0, 
-0.3046875, -0.0546875, 176.0, -1.0, 
-0.3046875, -0.0546875, 177.0, -1.0, 
-0.3046875, -0.0546875, 178.0, -1.0, 
-0.265625, -0.03125, 179.0, -1.0, 
-0.2109375, -0.0078125, 180.0, -1.0, 
-0.203125, -0.0078125, 181.0, -1.0, 
-0.2109375, 0.0, 182.0, -1.0, 
-0.2109375, 0.0, 183.0, -1.0, 
-0.2109375, 0.0, 184.0, -1.0, 
-0.2109375, 0.0, 185.0, -1.0, 
-0.2109375, 0.0, 186.0, -1.0, 
-0.203125, 0.0, 187.0, -1.0, 
-0.171875, 0.0, 188.0, -1.0, 
-0.171875, 0.0, 189.0, -1.0, 
-0.171875, 0.0, 190.0, -1.0, 
-0.1484375, 0.0, 191.0, -1.0, 
-0.1328125, 0.0, 192.0, -1.0, 
-0.125, 0.0, 193.0, -1.0, 
-0.1015625, 0.0, 194.0, -1.0, 
-0.09375, 0.0, 195.0, -1.0, 
-0.0859375, 0.0, 196.0, -1.0, 
-0.0859375, 0.0, 197.0, -1.0, 
-0.0859375, 0.0, 198.0, -1.0, 
-0.0859375, 0.0, 199.0, -1.0, 
-0.0859375, 0.0, 200.0, -1.0, 
-0.0859375, 0.0, 201.0, -1.0, 
-0.0859375, 0.0, 202.0, -1.0, 
-0.0859375, 0.0, 203.0, -1.0, 
-0.0859375, 0.0, 204.0, -1.0, 
-0.0859375, 0.0, 205.0, -1.0, 
-0.09375, 0.0, 206.0, -1.0, 
-0.0859375, 0.0, 207.0, -1.0, 
-0.09375, 0.0, 208.0, -1.0, 
-0.0859375, 0.0, 209.0, -1.0, 
-0.09375, 0.0, 210.0, -1.0, 
-0.0859375, 0.0, 211.0, -1.0, 
-0.0859375, 0.0, 212.0, -1.0, 
-0.0859375, 0.0, 213.0, -1.0, 
-0.0859375, 0.0, 214.0, -1.0, 
-0.0859375, 0.0, 215.0, -1.0, 
-0.0859375, 0.0, 216.0, -1.0, 
-0.0859375, 0.0, 217.0, -1.0, 
-0.0859375, 0.0, 218.0, -1.0, 
