joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
-0.0078125, 0.007874015718698502, 1.0, -1.0, 
-0.0078125, 0.007874015718698502, 2.0, -1.0, 
-0.0078125, 0.007874015718698502, 3.0, -1.0, 
-0.0078125, 0.007874015718698502, 4.0, -1.0, 
-0.0078125, 0.007874015718698502, 5.0, -1.0, 
-0.0078125, 0.007874015718698502, 6.0, -1.0, 
-0.0078125, 0.007874015718698502, 7.0, -1.0, 
-0.0078125, 0.007874015718698502, 8.0, -1.0, 
-0.0078125, 0.007874015718698502, 9.0, -1.0, 
-0.0078125, 0.007874015718698502, 10.0, -1.0, 
-0.0078125, 0.007874015718698502, 11.0, -1.0, 
-0.0078125, 0.007874015718698502, 12.0, -1.0, 
-0.0078125, 0.007874015718698502, 13.0, -1.0, 
-0.0078125, 0.007874015718698502, 14.0, -1.0, 
-0.0078125, 0.0, 15.0, -1.0, 
-0.0078125, -0.0234375, 16.0, -1.0, 
-0.0078125, -0.3125, 17.0, -1.0, 
-0.0078125, -0.390625, 18.0, -1.0, 
-0.0078125, -0.46875, 19.0, -1.0, 
-0.0078125, -0.5, 20.0, -1.0, 
-0.0078125, -0.5546875, 21.0, -1.0, 
-0.0078125, -0.6015625, 22.0, -1.0, 
-0.0078125, -0.6015625, 23.0, -1.0, 
-0.0078125, -0.6171875, 24.0, -1.0, 
-0.0078125, -0.6171875, 25.0, -1.0, 
-0.0078125, -0.6171875, 26.0, -1.0, 
-0.0078125, -0.6171875, 27.0, -1.0, 
-0.0078125, -0.6171875, 28.0, -1.0, 
-0.0078125, -0.6171875, 29.0, -1.0, 
-0.0078125, -0.5703125, 30.0, -1.0, 
-0.0078125, -0.453125, 31.0, -1.0, 
-0.0078125, -0.375, 32.0, -1.0, 
-0.0078125, -0.0546875, 33.0, -1.0, 
-0.0078125, -0.0390625, 34.0, -1.0, 
-0.0078125, -0.0078125, 35.0, -1.0, 
-0.0078125, -0.0078125, 36.0, -1.0, 
-0.0078125, -0.0078125, 37.0, -1.0, 
-0.0078125, -0.0078125, 38.0, -1.0, 
-0.0078125, -0.0859375, 39.0, -1.0, 
-0.0078125, -0.0859375, 40.0, -1.0, 
-0.0078125, -0.0859375, 41.0, -1.0, 
0.0, -0.1640625, 42.0, -1.0, 
0.0, -0.1640625, 43.0, -1.0, 
0.007874015718698502, -0.1640625, 44.0, -1.0, 
0.007874015718698502, -0.1640625, 45.0, -1.0, 
0.04724409431219101, -0.1640625, 46.0, -1.0, 
0.05511811003088951, -0.1796875, 47.0, -1.0, 
0.08661417663097382, -0.1796875, 48.0, -1.0, 
0.10236220806837082, -0.1953125, 49.0, -1.0, 
0.14173229038715363, -0.1953125, 50.0, -1.0, 
0.16535432636737823, -0.2109375, 51.0, -1.0, 
0.19685038924217224, -0.2265625, 52.0, -1.0, 
0.19685038924217224, -0.2265625, 53.0, -1.0, 
0.19685038924217224, -0.2265625, 54.0, -1.0, 
0.21259842813014984, -0.2421875, 55.0, -1.0, 
0.22047244012355804, -0.2421875, 56.0, -1.0, 
0.22047244012355804, -0.2109375, 57.0, -1.0, 
0.23622047901153564, -0.1484375, 58.0, -1.0, 
0.23622047901153564, -0.1171875, 59.0, -1.0, 
0.23622047901153564, -0.1015625, 60.0, -1.0, 
0.25984251499176025, -0.1015625, 61.0, -1.0, 
0.28346458077430725, -0.0859375, 62.0, -1.0, 
0.29921260476112366, -0.0703125, 63.0, -1.0, 
0.30708661675453186, -0.0703125, 64.0, -1.0, 
0.31496062874794006, -0.0546875, 65.0, -1.0, 
0.3385826647281647, -0.0546875, 66.0, -1.0, 
0.3385826647281647, -0.0078125, 67.0, -1.0, 
0.3385826647281647, -0.0078125, 68.0, -1.0, 
0.3937007784843445, -0.0078125, 69.0, -1.0, 
0.3937007784843445, 0.0, 70.0, -1.0, 
0.4015747904777527, 0.007874015718698502, 71.0, -1.0, 
0.4094488322734833, 0.031496062874794006, 72.0, -1.0, 
0.4094488322734833, 0.04724409431219101, 73.0, -1.0, 
0.4094488322734833, 0.04724409431219101, 74.0, -1.0, 
0.4330708682537079, 0.04724409431219101, 75.0, -1.0, 
0.4094488322734833, 0.04724409431219101, 76.0, -1.0, 
0.4094488322734833, 0.04724409431219101, 77.0, -1.0, 
0.4094488322734833, 0.04724409431219101, 78.0, -1.0, 
0.4094488322734833, 0.04724409431219101, 79.0, -1.0, 
0.4094488322734833, 0.0, 80.0, -1.0, 
0.4094488322734833, 0.0, 81.0, -1.0, 
