joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, 0.08661417663097382, 92.0, -1.0, 
0.0, 0.29133859276771545, 93.0, -1.0, 
0.0, 0.4724409580230713, 94.0, -1.0, 
0.0, 0.5748031735420227, 95.0, -1.0, 
0.0, 0.6377952694892883, 96.0, -1.0, 
0.0, 0.7322834730148315, 97.0, -1.0, 
0.0, 0.7322834730148315, 98.0, -1.0, 
0.0, 0.8267716765403748, 99.0, -1.0, 
0.0, 0.8818897604942322, 100.0, -1.0, 
0.0, 0.9055117964744568, 101.0, -1.0, 
0.0, 0.9212598204612732, 102.0, -1.0, 
0.0, 0.9527559280395508, 103.0, -1.0, 
0.0, 0.960629940032959, 104.0, -1.0, 
0.0, 0.9685039520263672, 105.0, -1.0, 
0.0, 0.9685039520263672, 106.0, -1.0, 
-0.015625, 0.9685039520263672, 107.0, -1.0, 
-0.0546875, 0.9685039520263672, 108.0, -1.0, 
-0.1015625, 0.9685039520263672, 109.0, -1.0, 
-0.1484375, 0.9685039520263672, 110.0, -1.0, 
-0.1796875, 0.9291338324546814, 111.0, -1.0, 
-0.21875, 0.7952755689620972, 112.0, -1.0, 
-0.2421875, 0.6535432934761047, 113.0, -1.0, 
-0.265625, 0.6141732335090637, 114.0, -1.0, 
-0.2734375, 0.5905511975288391, 115.0, -1.0, 
-0.2734375, 0.4803149700164795, 116.0, -1.0, 
-0.28125, 0.36220473051071167, 117.0, -1.0, 
-0.2890625, 0.28346458077430725, 118.0, -1.0, 
-0.296875, 0.21259842813014984, 119.0, -1.0, 
-0.2890625, 0.14173229038715363, 120.0, -1.0, 
-0.2890625, 0.03937007859349251, 121.0, -1.0, 
-0.2890625, 0.0, 122.0, -1.0, 
-0.2890625, 0.0, 123.0, -1.0, 
-0.2890625, 0.0, 124.0, -1.0, 
-0.2890625, 0.0, 125.0, -1.0, 
-0.2890625, 0.0, 126.0, -1.0, 
-0.2890625, 0.0, 127.0, -1.0, 
-0.2890625, 0.0, 128.0, -1.0, 
-0.2890625, 0.0, 129.0, -1.0, 
-0.296875, 0.0, 130.0, -1.0, 
-0.3046875, 0.0, 131.0, -1.0, 
-0.3203125, 0.0, 132.0, -1.0, 
-0.34375, 0.0, 133.0, -1.0, 
-0.3671875, 0.0, 134.0, -1.0, 
-0.3828125, 0.0, 135.0, -1.0, 
-0.40625, 0.0, 136.0, -1.0, 
-0.4296875, 0.0, 137.0, -1.0, 
-0.453125, 0.0, 138.0, -1.0, 
-0.46875, 0.0, 139.0, -1.0, 
-0.484375, 0.0, 140.0, -1.0, 
-0.5, 0.0, 141.0, -1.0, 
-0.5078125, 0.0, 142.0, -1.0, 
-0.5234375, 0.0, 143.0, -1.0, 
-0.5390625, 0.0, 144.0, -1.0, 
-0.5625, 0.0, 145.0, -1.0, 
-0.5703125, 0.0, 146.0, -1.0, 
-0.578125, 0.0, 147.0, -1.0, 
-0.578125, 0.0, 148.0, -1.0, 
-0.578125, 0.0, 149.0, -1.0, 
-0.578125, 0.0, 150.0, -1.0, 
-0.578125, 0.0, 151.0, -1.0, 
-0.5703125, 0.0, 152.0, -1.0, 
-0.5703125, 0.0, 153.0, -1.0, 
-0.5703125, 0.0, 154.0, -1.0, 
-0.5703125, 0.0, 155.0, -1.0, 
-0.5703125, 0.0, 156.0, -1.0, 
-0.5625, 0.0, 157.0, -1.0, 
-0.5625, 0.0, 158.0, -1.0, 
-0.5625, 0.0, 159.0, -1.0, 
-0.5703125, 0.0, 160.0, -1.0, 
-0.5703125, 0.0, 161.0, -1.0, 
-0.5703125, 0.0, 162.0, -1.0, 
-0.5703125, 0.0, 163.0, -1.0, 
-0.5703125, 0.0, 164.0, -1.0, 
-0.5703125, 0.0, 165.0, -1.0, 
-0.5703125, 0.0, 166.0, -1.0, 
-0.5625, 0.0, 167.0, -1.0, 
-0.5546875, 0.0, 168.0, -1.0, 
-0.5546875, 0.0, 169.0, -1.0, 
-0.5546875, 0.0, 170.0, -1.0, 
-0.5546875, 0.0, 171.0, -1.0, 
-0.546875, 0.0, 172.0, -1.0, 
-0.546875, 0.0, 173.0, -1.0, 
-0.546875, 0.0, 174.0, -1.0, 
-0.546875, 0.0, 175.0, -1.0, 
-0.546875, 0.0, 176.0, -1.0, 
-0.5390625, 0.0, 177.0, -1.0, 
-0.53125, 0.0, 178.0, -1.0, 
-0.53125, 0.0, 179.0, -1.0, 
-0.53125, 0.0, 180.0, -1.0, 
-0.53125, 0.0, 181.0, -1.0, 
-0.53125, 0.0, 182.0, -1.0, 
-0.5234375, 0.0, 183.0, -1.0, 
-0.5234375, 0.0, 184.0, -1.0, 
-0.5234375, 0.0, 185.0, -1.0, 
-0.5234375, 0.0, 186.0, -1.0, 
-0.5234375, 0.0, 187.0, -1.0, 
-0.5234375, 0.0, 188.0, -1.0, 
-0.5234375, 0.0, 189.0, -1.0, 
-0.5234375, 0.0, 190.0, -1.0, 
-0.5234375, 0.0, 191.0, -1.0, 
-0.515625, 0.0, 192.0, -1.0, 
-0.5078125, 0.0, 193.0, -1.0, 
-0.5, 0.0, 194.0, -1.0, 
-0.484375, 0.0, 195.0, -1.0, 
-0.46875, 0.0, 196.0, -1.0, 
-0.4453125, 0.0, 197.0, -1.0, 
-0.421875, 0.0, 198.0, -1.0, 
-0.40625, 0.0, 199.0, -1.0, 
-0.390625, 0.0, 200.0, -1.0, 
-0.375, 0.0, 201.0, -1.0, 
-0.359375, 0.0, 202.0, -1.0, 
-0.3515625, 0.0, 203.0, -1.0, 
-0.34375, 0.0, 204.0, -1.0, 
-0.3359375, 0.0, 205.0, -1.0, 
-0.3203125, 0.0, 206.0, -1.0, 
-0.3125, 0.0, 207.0, -1.0, 
-0.2890625, 0.0, 208.0, -1.0, 
-0.265625, 0.0, 209.0, -1.0, 
-0.234375, 0.0, 210.0, -1.0, 
-0.203125, 0.0, 211.0, -1.0, 
-0.1640625, 0.0, 212.0, -1.0
