joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.007874, 0.0, 9.0, -1.0, 
0.0078741, 0.0, 10.0, -1.0, 
0.0157480, 0.0, 11.0, -1.0, 
0.01574803, 0.0, 12.0, -1.0, 
0.02362204, 0.0, 13.0, -1.0, 
0.039370, 0.0, 14.0, -1.0, 
0.0629921, 0.0, 15.0, -1.0, 
0.10236282, 0.0, 16.0, -1.0, 
0.1574803, 0.0, 17.0, -1.0, 
0.204724, 0.0, 18.0, -1.0, 
0.25984225, 0.0, 19.0, -1.0, 
0.3070866, 0.0, 20.0, -1.0, 
0.35433077, 0.0, 21.0, -1.0, 
0.385826763, 0.0, 22.0, -1.0, 
0.4094488, 0.0, 23.0, -1.0, 
0.4488188, 0.0, 24.0, -1.0, 
0.47244093, 0.0, 25.0, -1.0, 
0.4960629, 0.0, 26.0, -1.0, 
0.511811023, 0.0, 27.0, -1.0, 
0.5354330, -0.0625, 28.0, -1.0, 
0.5590550, -0.140625, 29.0, -1.0, 
0.57480317, -0.265625, 30.0, -1.0, 
0.590551191, -0.3359375, 31.0, -1.0, 
0.5984252073, -0.3828125, 32.0, -1.0, 
0.606299225, -0.3984375, 33.0, -1.0, 
0.61417323, -0.3984375, 34.0, -1.0, 
0.614173233, -0.40625, 35.0, -1.0, 
0.61417323337, -0.40625, 36.0, -1.0, 
0.6141732337, -0.40625, 37.0, -1.0, 
0.614173233, -0.40625, 38.0, -1.0, 
0.6141732337, -0.40625, 39.0, -1.0, 
0.6141732337, -0.40625, 40.0, -1.0, 
0.61417323637, -0.40625, 41.0, -1.0, 
0.614173237, -0.40625, 42.0, -1.0, 
0.61417323637, -0.40625, 43.0, -1.0, 
0.61417323, -0.40625, 44.0, -1.0, 
0.614173233, -0.40625, 45.0, -1.0, 
0.61417323, -0.40625, 46.0, -1.0, 
0.61417323, -0.40625, 47.0, -1.0, 
0.614173237, -0.40625, 48.0, -1.0, 
0.614173237, -0.40625, 49.0, -1.0, 
0.614173237, -0.40625, 50.0, -1.0, 
0.622047249, -0.40625, 51.0, -1.0, 
0.629921251, -0.40625, 52.0, -1.0, 
0.6377952683, -0.40625, 53.0, -1.0, 
0.63779526, -0.40625, 54.0, -1.0, 
0.6535432937, -0.40625, 55.0, -1.0, 
0.6614173059, -0.3984375, 56.0, -1.0, 
0.66929131, -0.390625, 57.0, -1.0, 
0.6771653293, -0.390625, 58.0, -1.0, 
0.692913415, -0.390625, 59.0, -1.0, 
0.70078742, -0.390625, 60.0, -1.0, 
0.708661439, -0.3828125, 61.0, -1.0, 
0.708661439, -0.3828125, 62.0, -1.0, 
0.70866143, -0.3828125, 63.0, -1.0, 
