joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, 0.0, 1.0, -1.0, 
0.0, 0.0, 2.0, -1.0, 
0.0, 0.0, 3.0, -1.0, 
0.0, 0.0, 4.0, -1.0, 
0.0, 0.0, 5.0, -1.0, 
0.0, 0.0, 6.0, -1.0, 
0.0, 0.0, 7.0, -1.0, 
0.0, 0.0, 8.0, -1.0, 
0.0, 0.0, 9.0, -1.0, 
0.0, 0.0, 10.0, -1.0, 
0.0, 0.0, 11.0, -1.0, 
0.0, 0.0, 12.0, -1.0, 
0.0, 0.0, 13.0, -1.0, 
0.0, 0.0, 14.0, -1.0, 
0.0, 0.0, 15.0, -1.0, 
0.0, 0.0, 16.0, -1.0, 
0.0, 0.0, 17.0, -1.0, 
0.0, 0.0, 18.0, -1.0, 
0.0, 0.0, 19.0, -1.0, 
0.0, 0.0, 20.0, -1.0, 
0.0, 0.0, 21.0, -1.0, 
0.0, 0.0, 22.0, -1.0, 
0.0, 0.0, 23.0, -1.0, 
0.0, 0.0, 24.0, -1.0, 
0.0, 0.0, 25.0, -1.0, 
0.0, 0.0, 26.0, -1.0, 
0.0, 0.0, 27.0, -1.0, 
0.0, 0.0, 28.0, -1.0, 
0.0, 0.0, 29.0, -1.0, 
0.0, 0.0, 30.0, -1.0, 
0.0, 0.0, 31.0, -1.0, 
0.0, 0.0, 32.0, -1.0, 
0.0, 0.0, 33.0, -1.0, 
0.0, 0.0, 34.0, -1.0, 
0.0, 0.0, 35.0, -1.0, 
0.0, 0.0, 36.0, -1.0, 
0.0, 0.0, 37.0, -1.0, 
-0.015625, 0.0, 38.0, -1.0, 
-0.0546875, 0.0, 39.0, -1.0, 
-0.1015625, 0.0, 40.0, -1.0, 
-0.15625, 0.0, 41.0, -1.0, 
-0.21875, 0.0, 42.0, -1.0, 
-0.28125, 0.0, 43.0, -1.0, 
-0.3203125, 0.0, 44.0, -1.0, 
-0.359375, 0.0, 45.0, -1.0, 
-0.390625, 0.0, 46.0, -1.0, 
-0.4140625, 0.0, 47.0, -1.0, 
-0.4296875, 0.0, 48.0, -1.0, 
-0.4375, 0.0, 49.0, -1.0, 
-0.4375, 0.0, 50.0, -1.0, 
-0.4453125, -0.140625, 51.0, -1.0, 
-0.4453125, -0.203125, 52.0, -1.0, 
-0.4453125, -0.2578125, 53.0, -1.0, 
-0.4453125, -0.2578125, 54.0, -1.0, 
-0.4453125, -0.2578125, 55.0, -1.0, 
-0.4375, -0.2578125, 56.0, -1.0, 
-0.4375, -0.2578125, 57.0, -1.0, 
-0.4375, -0.2578125, 58.0, -1.0, 
-0.4375, -0.2578125, 59.0, -1.0, 
-0.4375, -0.2578125, 60.0, -1.0, 
-0.4375, -0.2578125, 61.0, -1.0, 
-0.4375, -0.2578125, 62.0, -1.0, 
-0.4375, -0.2578125, 63.0, -1.0, 
-0.4375, -0.2578125, 64.0, -1.0, 
-0.4375, -0.2578125, 65.0, -1.0, 
-0.4375, -0.2578125, 66.0, -1.0, 
-0.4296875, -0.2578125, 67.0, -1.0, 
-0.4296875, -0.2578125, 68.0, -1.0, 
-0.4296875, -0.2578125, 69.0, -1.0, 
-0.4296875, -0.2578125, 70.0, -1.0, 
-0.4296875, -0.1796875, 71.0, -1.0, 
-0.4296875, -0.109375, 72.0, -1.0, 
-0.4296875, -0.0703125, 73.0, -1.0, 
-0.4296875, 0.0, 74.0, -1.0, 
-0.4453125, 0.0, 75.0, -1.0, 
-0.453125, 0.0, 76.0, -1.0, 
-0.4765625, 0.0, 77.0, -1.0, 
-0.5, 0.0, 78.0, -1.0, 
-0.515625, 0.0, 79.0, -1.0, 
-0.5234375, 0.0, 80.0, -1.0, 
-0.5234375, 0.0, 81.0, -1.0, 
-0.53125, 0.0, 82.0, -1.0, 
-0.5390625, 0.0, 83.0, -1.0, 
-0.546875, 0.0, 84.0, -1.0, 
-0.546875, 0.0, 85.0, -1.0, 
-0.546875, 0.0, 86.0, -1.0, 
-0.546875, 0.0, 87.0, -1.0, 
-0.546875, 0.0, 88.0, -1.0, 
-0.546875, 0.0, 89.0, -1.0, 
-0.546875, 0.0, 90.0, -1.0, 
-0.546875, 0.0, 91.0, -1.0, 
-0.546875, 0.0, 92.0, -1.0, 
-0.546875, 0.0, 93.0, -1.0, 
-0.546875, 0.0, 94.0, -1.0, 
-0.546875, 0.0, 95.0, -1.0, 
-0.546875, 0.0, 96.0, -1.0, 
-0.546875, -0.0234375, 97.0, -1.0, 
-0.546875, -0.0625, 98.0, -1.0, 
-0.546875, -0.078125, 99.0, -1.0, 
-0.546875, -0.109375, 100.0, -1.0, 
-0.546875, -0.125, 101.0, -1.0, 
-0.546875, -0.125, 102.0, -1.0, 
-0.546875, -0.125, 103.0, -1.0, 
-0.546875, -0.125, 104.0, -1.0, 
-0.546875, -0.125, 105.0, -1.0, 
-0.546875, -0.125, 106.0, -1.0, 
-0.546875, -0.125, 107.0, -1.0, 
-0.546875, -0.140625, 108.0, -1.0, 
-0.546875, -0.1640625, 109.0, -1.0, 
-0.546875, -0.1875, 110.0, -1.0, 
-0.546875, -0.203125, 111.0, -1.0, 
-0.546875, -0.203125, 112.0, -1.0, 
-0.546875, -0.234375, 113.0, -1.0, 
-0.546875, -0.234375, 114.0, -1.0, 
-0.546875, -0.25, 115.0, -1.0, 
-0.546875, -0.2578125, 116.0, -1.0, 
-0.546875, -0.2734375, 117.0, -1.0, 
-0.546875, -0.328125, 118.0, -1.0, 
-0.546875, -0.34375, 119.0, -1.0, 
-0.546875, -0.34375, 120.0, -1.0, 
-0.5390625, -0.34375, 121.0, -1.0, 
-0.5390625, -0.34375, 122.0, -1.0, 
-0.5390625, -0.34375, 123.0, -1.0, 
-0.5390625, -0.34375, 124.0, -1.0, 
-0.5390625, -0.34375, 125.0, -1.0, 
-0.5390625, -0.34375, 126.0, -1.0, 
-0.5390625, -0.34375, 127.0, -1.0, 
-0.53125, -0.34375, 128.0, -1.0, 
-0.53125, -0.34375, 129.0, -1.0, 
-0.5234375, -0.34375, 130.0, -1.0, 
-0.515625, -0.34375, 131.0, -1.0, 
-0.515625, -0.34375, 132.0, -1.0, 
-0.5078125, -0.34375, 133.0, -1.0, 
-0.5, -0.34375, 134.0, -1.0, 
-0.5, -0.34375, 135.0, -1.0, 
-0.4921875, -0.34375, 136.0, -1.0, 
-0.484375, -0.34375, 137.0, -1.0, 
-0.4765625, -0.296875, 138.0, -1.0, 
-0.4609375, -0.296875, 139.0, -1.0, 
-0.4453125, -0.1875, 140.0, -1.0, 
-0.4296875, -0.0859375, 141.0, -1.0, 
-0.3984375, 0.0, 142.0, -1.0, 
-0.3515625, 0.0, 143.0, -1.0, 
-0.3125, 0.0, 144.0, -1.0, 
-0.265625, 0.0, 145.0, -1.0, 
-0.234375, 0.0, 146.0, -1.0, 
-0.203125, 0.0, 147.0, -1.0, 
