joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
-0.96875, -0.546875, 1.0, -1.0, 
-0.9609375, -0.546875, 2.0, -1.0, 
-0.9609375, -0.546875, 3.0, -1.0, 
-0.953125, -0.546875, 4.0, -1.0, 
-0.953125, -0.546875, 5.0, -1.0, 
-0.9453125, -0.546875, 6.0, -1.0, 
-0.9296875, -0.546875, 7.0, -1.0, 
-0.9296875, -0.546875, 8.0, -1.0, 
-0.9296875, -0.546875, 9.0, -1.0, 
-0.9296875, -0.546875, 10.0, -1.0, 
-0.921875, -0.546875, 11.0, -1.0, 
-0.921875, -0.546875, 12.0, -1.0, 
-0.921875, -0.546875, 13.0, -1.0, 
-0.921875, -0.546875, 14.0, -1.0, 
-0.921875, -0.546875, 15.0, -1.0, 
-0.9140625, -0.546875, 16.0, -1.0, 
-0.9140625, -0.546875, 17.0, -1.0, 
-0.9140625, -0.546875, 18.0, -1.0, 
-0.9140625, -0.546875, 19.0, -1.0, 
-0.90625, -0.546875, 20.0, -1.0, 
-0.90625, -0.546875, 21.0, -1.0, 
-0.90625, -0.546875, 22.0, -1.0, 
-0.90625, -0.546875, 23.0, -1.0, 
-0.8984375, -0.546875, 24.0, -1.0, 
-0.8984375, -0.546875, 25.0, -1.0, 
-0.8984375, -0.546875, 26.0, -1.0, 
-0.8984375, -0.546875, 27.0, -1.0, 
-0.8984375, -0.546875, 28.0, -1.0, 
-0.890625, -0.546875, 29.0, -1.0, 
-0.890625, -0.546875, 30.0, -1.0, 
-0.890625, -0.546875, 31.0, -1.0, 
-0.890625, -0.546875, 32.0, -1.0, 
-0.890625, -0.546875, 33.0, -1.0, 
-0.8828125, -0.546875, 34.0, -1.0, 
-0.8828125, -0.546875, 35.0, -1.0, 
-0.8828125, -0.546875, 36.0, -1.0, 
-0.8828125, -0.546875, 37.0, -1.0, 
-0.8828125, -0.546875, 38.0, -1.0, 
-0.875, -0.546875, 39.0, -1.0, 
-0.875, -0.546875, 40.0, -1.0, 
-0.875, -0.546875, 41.0, -1.0, 
-0.875, -0.546875, 42.0, -1.0, 
-0.875, -0.546875, 43.0, -1.0, 
-0.8671875, -0.546875, 44.0, -1.0, 
-0.8671875, -0.546875, 45.0, -1.0, 
-0.8671875, -0.546875, 46.0, -1.0, 
-0.8671875, -0.546875, 47.0, -1.0, 
-0.8671875, -0.546875, 48.0, -1.0, 
-0.8671875, -0.546875, 49.0, -1.0, 
-0.8671875, -0.546875, 50.0, -1.0, 
-0.8671875, -0.546875, 51.0, -1.0, 
-0.859375, -0.546875, 52.0, -1.0, 
-0.859375, -0.546875, 53.0, -1.0, 
-0.859375, -0.546875, 54.0, -1.0, 
-0.859375, -0.546875, 55.0, -1.0, 
-0.859375, -0.546875, 56.0, -1.0, 
-0.859375, -0.546875, 57.0, -1.0, 
-0.859375, -0.546875, 58.0, -1.0, 
-0.859375, -0.546875, 59.0, -1.0, 
-0.859375, -0.546875, 60.0, -1.0, 
-0.859375, -0.546875, 61.0, -1.0, 
-0.8515625, -0.546875, 62.0, -1.0, 
-0.8515625, -0.546875, 63.0, -1.0, 
-0.8515625, -0.546875, 64.0, -1.0, 
-0.8515625, -0.546875, 65.0, -1.0, 
-0.8515625, -0.546875, 66.0, -1.0, 
-0.84375, -0.546875, 67.0, -1.0, 
-0.84375, -0.546875, 68.0, -1.0, 
-0.84375, -0.546875, 69.0, -1.0, 
-0.84375, -0.546875, 70.0, -1.0, 
-0.8359375, -0.546875, 71.0, -1.0, 
-0.8359375, -0.546875, 72.0, -1.0, 
-0.8359375, -0.546875, 73.0, -1.0, 
-0.8359375, -0.546875, 74.0, -1.0, 
-0.8359375, -0.546875, 75.0, -1.0, 
-0.8359375, -0.546875, 76.0, -1.0, 
