joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
-0.0078125, -0.0078125, 1.0, -1.0, 
-0.0078125, 0.0, 2.0, -1.0, 
-0.0078125, 0.0, 3.0, -1.0, 
-0.0078125, 0.0, 4.0, -1.0, 
-0.0078125, 0.0, 5.0, -1.0, 
-0.0078125, 0.0, 6.0, -1.0, 
-0.0078125, 0.0, 7.0, -1.0, 
-0.0078125, 0.0, 8.0, -1.0, 
-0.0078125, 0.0, 9.0, -1.0, 
-0.0078125, 0.0, 10.0, -1.0, 
-0.0078125, 0.0, 11.0, -1.0, 
-0.0078125, 0.0, 12.0, -1.0, 
-0.0078125, 0.0, 13.0, -1.0, 
-0.0078125, 0.0, 14.0, -1.0, 
-0.0078125, 0.0, 15.0, -1.0, 
-0.0078125, 0.0, 16.0, -1.0, 
-0.0078125, 0.0, 17.0, -1.0, 
-0.0078125, 0.0, 18.0, -1.0, 
-0.0078125, -0.03125, 19.0, -1.0, 
-0.0078125, -0.15625, 20.0, -1.0, 
-0.0078125, -0.1796875, 21.0, -1.0, 
-0.0078125, -0.1640625, 22.0, -1.0, 
-0.0078125, -0.1640625, 23.0, -1.0, 
-0.0078125, -0.1640625, 24.0, -1.0, 
-0.0078125, -0.1640625, 25.0, -1.0, 
-0.0078125, -0.1640625, 26.0, -1.0, 
-0.0078125, -0.1640625, 27.0, -1.0, 
-0.0078125, -0.1640625, 28.0, -1.0, 
-0.0078125, -0.1640625, 29.0, -1.0, 
-0.0078125, -0.1640625, 30.0, -1.0, 
-0.0078125, -0.1640625, 31.0, -1.0, 
-0.0078125, -0.1640625, 32.0, -1.0, 
-0.0078125, -0.1640625, 33.0, -1.0, 
-0.0078125, -0.1640625, 34.0, -1.0, 
-0.0078125, -0.1640625, 35.0, -1.0, 
-0.0078125, -0.1640625, 36.0, -1.0, 
-0.0078125, -0.1640625, 37.0, -1.0, 
-0.0078125, -0.1640625, 38.0, -1.0, 
-0.0078125, -0.1640625, 39.0, -1.0, 
-0.0078125, -0.1640625, 40.0, -1.0, 
-0.0078125, -0.1640625, 41.0, -1.0, 
-0.0078125, -0.1640625, 42.0, -1.0, 
-0.0078125, -0.15625, 43.0, -1.0, 
-0.0078125, -0.1328125, 44.0, -1.0, 
-0.0078125, -0.1015625, 45.0, -1.0, 
-0.0078125, -0.1015625, 46.0, -1.0, 
-0.0078125, -0.1015625, 47.0, -1.0, 
-0.03125, -0.09375, 48.0, -1.0, 
-0.0546875, -0.0625, 49.0, -1.0, 
-0.0625, -0.0625, 50.0, -1.0, 
-0.0625, -0.0625, 51.0, -1.0, 
-0.0625, -0.0625, 52.0, -1.0, 
-0.1015625, -0.0625, 53.0, -1.0, 
-0.1171875, -0.0625, 54.0, -1.0, 
-0.1328125, -0.0625, 55.0, -1.0, 
-0.1796875, -0.0703125, 56.0, -1.0, 
-0.21875, -0.0625, 57.0, -1.0, 
-0.234375, -0.0625, 58.0, -1.0, 
-0.2421875, -0.0625, 59.0, -1.0, 
-0.25, -0.0625, 60.0, -1.0, 
-0.2578125, -0.0703125, 61.0, -1.0, 
-0.265625, -0.0859375, 62.0, -1.0, 
-0.265625, -0.0859375, 63.0, -1.0, 
-0.28125, -0.09375, 64.0, -1.0, 
-0.28125, -0.09375, 65.0, -1.0, 
-0.28125, -0.1171875, 66.0, -1.0, 
-0.28125, -0.125, 67.0, -1.0, 
-0.28125, -0.125, 68.0, -1.0, 
-0.28125, -0.125, 69.0, -1.0, 
-0.28125, -0.125, 70.0, -1.0, 
-0.28125, -0.125, 71.0, -1.0, 
-0.28125, -0.1015625, 72.0, -1.0, 
-0.28125, -0.1015625, 73.0, -1.0, 
-0.28125, -0.1015625, 74.0, -1.0, 
-0.28125, -0.09375, 75.0, -1.0, 
-0.28125, -0.078125, 76.0, -1.0, 
-0.28125, -0.078125, 77.0, -1.0, 
-0.28125, -0.078125, 78.0, -1.0, 
-0.28125, -0.078125, 79.0, -1.0, 
-0.28125, -0.078125, 80.0, -1.0, 
-0.28125, -0.0703125, 81.0, -1.0, 
-0.28125, -0.0390625, 82.0, -1.0, 
-0.28125, -0.0390625, 83.0, -1.0, 
-0.2890625, -0.03125, 84.0, -1.0, 
-0.3203125, -0.0390625, 85.0, -1.0, 
-0.328125, -0.0390625, 86.0, -1.0, 
-0.3359375, -0.0390625, 87.0, -1.0, 
-0.3359375, -0.0390625, 88.0, -1.0, 
-0.34375, -0.0390625, 89.0, -1.0, 
-0.3515625, -0.0390625, 90.0, -1.0, 
-0.3671875, -0.03125, 91.0, -1.0, 
-0.3671875, -0.03125, 92.0, -1.0, 
-0.390625, -0.03125, 93.0, -1.0, 
-0.390625, -0.03125, 94.0, -1.0, 
-0.390625, -0.03125, 95.0, -1.0, 
-0.390625, -0.0234375, 96.0, -1.0, 
-0.390625, -0.0234375, 97.0, -1.0, 
-0.3828125, -0.0234375, 98.0, -1.0, 
-0.390625, -0.0234375, 99.0, -1.0, 
-0.390625, -0.015625, 100.0, -1.0, 
-0.390625, -0.0078125, 101.0, -1.0, 
-0.390625, -0.0078125, 102.0, -1.0, 
-0.390625, -0.0078125, 103.0, -1.0, 
-0.390625, -0.0078125, 104.0, -1.0, 
-0.390625, -0.0078125, 105.0, -1.0, 
-0.390625, -0.0078125, 106.0, -1.0, 
-0.390625, -0.0078125, 107.0, -1.0, 
-0.3828125, -0.0078125, 108.0, -1.0, 
-0.3828125, -0.0078125, 109.0, -1.0, 
-0.3828125, 0.0, 110.0, -1.0, 
-0.3828125, 0.0, 111.0, -1.0, 
