joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, -0.015625, 1.0, -1.0, 
0.0, -0.0078125, 2.0, -1.0, 
0.0, -0.0078125, 3.0, -1.0, 
0.0, -0.0078125, 4.0, -1.0, 
0.0, -0.0078125, 5.0, -1.0, 
0.0, -0.0078125, 6.0, -1.0, 
0.0, -0.046875, 7.0, -1.0, 
0.0, -0.0625, 8.0, -1.0, 
0.0, -0.0390625, 9.0, -1.0, 
0.0, -0.0078125, 10.0, -1.0, 
0.0, -0.0078125, 11.0, -1.0, 
0.0, -0.0078125, 12.0, -1.0, 
0.0, -0.0078125, 13.0, -1.0, 
0.0, -0.0078125, 14.0, -1.0, 
0.0, -0.0234375, 15.0, -1.0, 
0.0, -0.0390625, 16.0, -1.0, 
0.0, -0.03125, 17.0, -1.0, 
0.0, -0.03125, 18.0, -1.0, 
0.0, -0.03125, 19.0, -1.0, 
0.0, -0.03125, 20.0, -1.0, 
0.0, -0.03125, 21.0, -1.0, 
0.0, -0.0078125, 22.0, -1.0, 
0.0, -0.0078125, 23.0, -1.0, 
0.0, -0.0078125, 24.0, -1.0, 
0.0, -0.0078125, 25.0, -1.0, 
0.0, -0.0078125, 26.0, -1.0, 
0.0, 0.0, 27.0, -1.0, 
0.0, 0.0, 28.0, -1.0, 
0.0, 0.0, 29.0, -1.0, 
0.0, 0.0, 30.0, -1.0, 
0.0, 0.0, 31.0, -1.0, 
0.0, 0.0, 32.0, -1.0, 
0.0, 0.0, 33.0, -1.0, 
0.0, 0.0, 34.0, -1.0, 
0.0, 0.0, 35.0, -1.0, 
0.0, 0.0, 36.0, -1.0, 
0.0, 0.0, 37.0, -1.0, 
0.0, 0.0, 38.0, -1.0, 
0.0, 0.0, 39.0, -1.0, 
0.0, 0.03937007859349251, 40.0, -1.0, 
0.0, 0.08661417663097382, 41.0, -1.0, 
0.0, 0.13385826349258423, 42.0, -1.0, 
0.0, 0.15748031437397003, 43.0, -1.0, 
0.0, 0.22834645211696625, 44.0, -1.0, 
0.0, 0.28346458077430725, 45.0, -1.0, 
0.0, 0.30708661675453186, 46.0, -1.0, 
0.0, 0.30708661675453186, 47.0, -1.0, 
0.0, 0.30708661675453186, 48.0, -1.0, 
0.0, 0.30708661675453186, 49.0, -1.0, 
0.0, 0.30708661675453186, 50.0, -1.0, 
0.0, 0.30708661675453186, 51.0, -1.0, 
0.0, 0.30708661675453186, 52.0, -1.0, 
0.0, 0.30708661675453186, 53.0, -1.0, 
0.0, 0.30708661675453186, 54.0, -1.0, 
0.0, 0.30708661675453186, 55.0, -1.0, 
0.0, 0.30708661675453186, 56.0, -1.0, 
0.0, 0.30708661675453186, 57.0, -1.0, 
0.0, 0.30708661675453186, 58.0, -1.0, 
0.0, 0.30708661675453186, 59.0, -1.0, 
0.0, 0.30708661675453186, 60.0, -1.0, 
0.0, 0.30708661675453186, 61.0, -1.0, 
0.0, 0.30708661675453186, 62.0, -1.0, 
0.0, 0.30708661675453186, 63.0, -1.0, 
0.0, 0.30708661675453186, 64.0, -1.0, 
0.0, 0.30708661675453186, 65.0, -1.0, 
0.0, 0.30708661675453186, 66.0, -1.0, 
0.0, 0.30708661675453186, 67.0, -1.0, 
0.0, 0.30708661675453186, 68.0, -1.0, 
0.0, 0.30708661675453186, 69.0, -1.0, 
0.0, 0.30708661675453186, 70.0, -1.0, 
0.0, 0.30708661675453186, 71.0, -1.0, 
0.0, 0.30708661675453186, 72.0, -1.0, 
0.0, 0.30708661675453186, 73.0, -1.0, 
0.0, 0.30708661675453186, 74.0, -1.0, 
0.0, 0.30708661675453186, 75.0, -1.0, 
0.0, 0.30708661675453186, 76.0, -1.0, 
0.0, 0.30708661675453186, 77.0, -1.0, 
0.0, 0.30708661675453186, 78.0, -1.0, 
0.0, 0.30708661675453186, 79.0, -1.0, 
0.0, 0.30708661675453186, 80.0, -1.0, 
0.0, 0.30708661675453186, 81.0, -1.0, 
0.0, 0.30708661675453186, 82.0, -1.0, 
0.0, 0.30708661675453186, 83.0, -1.0, 
0.0, 0.30708661675453186, 84.0, -1.0, 
0.0, 0.30708661675453186, 85.0, -1.0, 
0.0, 0.30708661675453186, 86.0, -1.0, 
0.0, 0.30708661675453186, 87.0, -1.0, 
0.0, 0.30708661675453186, 88.0, -1.0, 
0.0, 0.30708661675453186, 89.0, -1.0, 
0.0, 0.30708661675453186, 90.0, -1.0, 
0.0, 0.30708661675453186, 91.0, -1.0, 
0.0, 0.30708661675453186, 92.0, -1.0, 
0.0, 0.30708661675453186, 93.0, -1.0, 
0.0, 0.30708661675453186, 94.0, -1.0, 
0.0, 0.30708661675453186, 95.0, -1.0, 
0.0, 0.31496062874794006, 96.0, -1.0, 
0.0, 0.32283464074134827, 97.0, -1.0, 
0.0, 0.32283464074134827, 98.0, -1.0, 
0.0, 0.32283464074134827, 99.0, -1.0, 
0.0, 0.32283464074134827, 100.0, -1.0, 
0.0, 0.32283464074134827, 101.0, -1.0, 
0.0, 0.32283464074134827, 102.0, -1.0, 
0.0, 0.32283464074134827, 103.0, -1.0, 
0.0, 0.32283464074134827, 104.0, -1.0, 
0.0, 0.32283464074134827, 105.0, -1.0, 
0.0, 0.32283464074134827, 106.0, -1.0, 
0.0, 0.32283464074134827, 107.0, -1.0, 
0.0, 0.32283464074134827, 108.0, -1.0, 
0.0, 0.32283464074134827, 109.0, -1.0, 
0.0, 0.32283464074134827, 110.0, -1.0, 
0.0, 0.32283464074134827, 111.0, -1.0, 
0.0, 0.32283464074134827, 112.0, -1.0, 
0.0, 0.32283464074134827, 113.0, -1.0, 
0.0, 0.32283464074134827, 114.0, -1.0, 
0.0, 0.32283464074134827, 115.0, -1.0, 
0.0, 0.32283464074134827, 116.0, -1.0, 
0.0, 0.32283464074134827, 117.0, -1.0, 
0.0, 0.32283464074134827, 118.0, -1.0, 
0.0, 0.32283464074134827, 119.0, -1.0, 
0.0, 0.32283464074134827, 120.0, -1.0, 
0.0, 0.32283464074134827, 121.0, -1.0, 
0.0, 0.32283464074134827, 122.0, -1.0, 
0.0, 0.32283464074134827, 123.0, -1.0, 
0.0, 0.32283464074134827, 124.0, -1.0, 
0.0, 0.32283464074134827, 125.0, -1.0, 
0.0, 0.32283464074134827, 126.0, -1.0, 
0.0, 0.32283464074134827, 127.0, -1.0, 
0.0, 0.32283464074134827, 128.0, -1.0, 
0.0, 0.32283464074134827, 129.0, -1.0, 
0.0, 0.32283464074134827, 130.0, -1.0, 
0.0, 0.32283464074134827, 131.0, -1.0, 
0.0, 0.32283464074134827, 132.0, -1.0, 
0.0, 0.32283464074134827, 133.0, -1.0, 
0.0, 0.32283464074134827, 134.0, -1.0, 
0.0, 0.32283464074134827, 135.0, -1.0, 
0.0, 0.32283464074134827, 136.0, -1.0, 
0.0, 0.32283464074134827, 137.0, -1.0, 
0.0, 0.32283464074134827, 138.0, -1.0, 
0.0, 0.32283464074134827, 139.0, -1.0, 
0.0, 0.32283464074134827, 140.0, -1.0, 
0.0, 0.32283464074134827, 141.0, -1.0, 
0.0, 0.32283464074134827, 142.0, -1.0, 
0.0, 0.32283464074134827, 143.0, -1.0, 
0.0, 0.32283464074134827, 144.0, -1.0, 
0.0, 0.32283464074134827, 145.0, -1.0, 
0.0, 0.32283464074134827, 146.0, -1.0, 
0.0, 0.32283464074134827, 147.0, -1.0, 
0.0, 0.32283464074134827, 148.0, -1.0, 
0.0, 0.32283464074134827, 149.0, -1.0, 
0.0, 0.32283464074134827, 150.0, -1.0, 
0.0, 0.32283464074134827, 151.0, -1.0, 
0.0, 0.32283464074134827, 152.0, -1.0, 
0.0, 0.32283464074134827, 153.0, -1.0, 
0.0, 0.32283464074134827, 154.0, -1.0, 
0.0, 0.32283464074134827, 155.0, -1.0, 
0.0, 0.32283464074134827, 156.0, -1.0, 
0.0, 0.32283464074134827, 157.0, -1.0, 
0.0, 0.32283464074134827, 158.0, -1.0, 
0.0, 0.32283464074134827, 159.0, -1.0, 
0.0, 0.32283464074134827, 160.0, -1.0, 
0.0, 0.32283464074134827, 161.0, -1.0, 
0.0, 0.32283464074134827, 162.0, -1.0, 
0.0, 0.32283464074134827, 163.0, -1.0, 
0.0, 0.32283464074134827, 164.0, -1.0, 
0.0, 0.32283464074134827, 165.0, -1.0, 
