joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, -0.0390625, 1.0, -1.0, 
0.0, -0.0234375, 2.0, -1.0, 
0.0, -0.0078125, 3.0, -1.0, 
0.0, -0.0078125, 4.0, -1.0, 
0.0, -0.0078125, 5.0, -1.0, 
0.0, -0.03125, 6.0, -1.0, 
0.0, -0.09375, 7.0, -1.0, 
0.0, -0.09375, 8.0, -1.0, 
0.0, -0.0546875, 9.0, -1.0, 
0.0, -0.0078125, 10.0, -1.0, 
0.0, -0.0078125, 11.0, -1.0, 
0.0, -0.0078125, 12.0, -1.0, 
0.0, -0.0078125, 13.0, -1.0, 
0.0, -0.0078125, 14.0, -1.0, 
0.0, -0.0078125, 15.0, -1.0, 
0.0, 0.0, 16.0, -1.0, 
0.0, 0.0, 17.0, -1.0, 
0.0, 0.0, 18.0, -1.0, 
0.0, 0.0, 19.0, -1.0, 
0.0, 0.0, 20.0, -1.0, 
0.0, 0.0, 21.0, -1.0, 
0.0, 0.0, 22.0, -1.0, 
0.0, 0.0, 23.0, -1.0, 
0.0, 0.0, 24.0, -1.0, 
0.0, 0.0, 25.0, -1.0, 
0.0, 0.05511811003088951, 26.0, -1.0, 
0.0, 0.14960630238056183, 27.0, -1.0, 
0.0, 0.33070865273475647, 28.0, -1.0, 
0.0, 0.3700787425041199, 29.0, -1.0, 
0.0, 0.3858267664909363, 30.0, -1.0, 
0.0, 0.3937007784843445, 31.0, -1.0, 
0.0, 0.3937007784843445, 32.0, -1.0, 
0.0, 0.3937007784843445, 33.0, -1.0, 
0.0, 0.3937007784843445, 34.0, -1.0, 
0.0, 0.3937007784843445, 35.0, -1.0, 
0.0, 0.4015747904777527, 36.0, -1.0, 
0.0, 0.4015747904777527, 37.0, -1.0, 
0.0, 0.4015747904777527, 38.0, -1.0, 
0.0, 0.3858267664909363, 39.0, -1.0, 
0.0, 0.3779527544975281, 40.0, -1.0, 
0.0, 0.26771652698516846, 41.0, -1.0, 
0.0, 0.18110236525535583, 42.0, -1.0, 
0.0, 0.11023622006177902, 43.0, -1.0, 
0.0, 0.07086614519357681, 44.0, -1.0, 
0.0, 0.05511811003088951, 45.0, -1.0, 
0.0, 0.06299212574958801, 46.0, -1.0, 
0.0, 0.07874015718698502, 47.0, -1.0, 
0.0, 0.07874015718698502, 48.0, -1.0, 
0.0, 0.07874015718698502, 49.0, -1.0, 
-0.0234375, 0.07874015718698502, 50.0, -1.0, 
-0.0546875, 0.07874015718698502, 51.0, -1.0, 
-0.0546875, 0.07874015718698502, 52.0, -1.0, 
-0.0625, 0.07874015718698502, 53.0, -1.0, 
-0.0859375, 0.04724409431219101, 54.0, -1.0, 
-0.1015625, 0.03937007859349251, 55.0, -1.0, 
-0.171875, 0.03937007859349251, 56.0, -1.0, 
-0.203125, 0.04724409431219101, 57.0, -1.0, 
-0.25, 0.031496062874794006, 58.0, -1.0, 
-0.28125, 0.023622047156095505, 59.0, -1.0, 
-0.296875, 0.023622047156095505, 60.0, -1.0, 
-0.3515625, 0.023622047156095505, 61.0, -1.0, 
-0.3671875, 0.023622047156095505, 62.0, -1.0, 
-0.3828125, 0.023622047156095505, 63.0, -1.0, 
-0.390625, 0.031496062874794006, 64.0, -1.0, 
-0.3984375, 0.03937007859349251, 65.0, -1.0, 
-0.3984375, 0.031496062874794006, 66.0, -1.0, 
-0.40625, 0.031496062874794006, 67.0, -1.0, 
-0.40625, 0.023622047156095505, 68.0, -1.0, 
-0.40625, 0.023622047156095505, 69.0, -1.0, 
-0.40625, 0.023622047156095505, 70.0, -1.0, 
-0.40625, 0.023622047156095505, 71.0, -1.0, 
-0.40625, 0.023622047156095505, 72.0, -1.0, 
-0.40625, 0.023622047156095505, 73.0, -1.0, 
-0.40625, 0.023622047156095505, 74.0, -1.0, 
-0.40625, 0.023622047156095505, 75.0, -1.0, 
-0.40625, 0.023622047156095505, 76.0, -1.0, 
-0.40625, 0.0, 77.0, -1.0, 
-0.40625, 0.0, 78.0, -1.0, 
-0.40625, 0.0, 79.0, -1.0, 
-0.40625, 0.0, 80.0, -1.0, 
-0.40625, 0.0, 81.0, -1.0, 
-0.40625, 0.0, 82.0, -1.0, 
-0.40625, 0.0, 83.0, -1.0, 
-0.40625, -0.0078125, 84.0, -1.0, 
-0.40625, -0.0078125, 85.0, -1.0, 
-0.40625, -0.0078125, 86.0, -1.0, 
-0.40625, -0.0078125, 87.0, -1.0, 
-0.40625, -0.046875, 88.0, -1.0, 
-0.40625, -0.09375, 89.0, -1.0, 
-0.40625, -0.125, 90.0, -1.0, 
-0.40625, -0.203125, 91.0, -1.0, 
-0.40625, -0.265625, 92.0, -1.0, 
-0.40625, -0.3125, 93.0, -1.0, 
-0.40625, -0.421875, 94.0, -1.0, 
-0.40625, -0.4609375, 95.0, -1.0, 
-0.40625, -0.5234375, 96.0, -1.0, 
-0.40625, -0.53125, 97.0, -1.0, 
-0.40625, -0.53125, 98.0, -1.0, 
-0.40625, -0.546875, 99.0, -1.0, 
-0.390625, -0.5625, 100.0, -1.0, 
-0.390625, -0.5625, 101.0, -1.0, 
-0.390625, -0.5625, 102.0, -1.0, 
-0.390625, -0.5703125, 103.0, -1.0, 
-0.390625, -0.5703125, 104.0, -1.0, 
-0.390625, -0.5703125, 105.0, -1.0, 
-0.390625, -0.5703125, 106.0, -1.0, 
-0.3828125, -0.5703125, 107.0, -1.0, 
-0.3828125, -0.5703125, 108.0, -1.0, 
-0.3828125, -0.5703125, 109.0, -1.0, 
-0.3828125, -0.5703125, 110.0, -1.0, 
-0.3828125, -0.5703125, 111.0, -1.0, 
-0.3828125, -0.5703125, 112.0, -1.0, 
-0.3828125, -0.5703125, 113.0, -1.0, 
-0.3828125, -0.5703125, 114.0, -1.0, 
-0.3828125, -0.5703125, 115.0, -1.0, 
-0.3828125, -0.5703125, 116.0, -1.0, 
-0.3828125, -0.5703125, 117.0, -1.0, 
-0.3828125, -0.5703125, 118.0, -1.0, 
-0.3828125, -0.5703125, 119.0, -1.0, 
-0.390625, -0.5859375, 120.0, -1.0, 
-0.390625, -0.6015625, 121.0, -1.0, 
-0.390625, -0.6171875, 122.0, -1.0, 
-0.390625, -0.625, 123.0, -1.0, 
-0.390625, -0.6328125, 124.0, -1.0, 
-0.390625, -0.6328125, 125.0, -1.0, 
-0.390625, -0.6328125, 126.0, -1.0, 
-0.390625, -0.6328125, 127.0, -1.0, 
-0.390625, -0.6484375, 128.0, -1.0, 
-0.390625, -0.6640625, 129.0, -1.0, 
-0.390625, -0.671875, 130.0, -1.0, 
-0.390625, -0.6796875, 131.0, -1.0, 
-0.390625, -0.7265625, 132.0, -1.0, 
-0.390625, -0.734375, 133.0, -1.0, 
