joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, -0.0078125, 1.0, -1.0, 
0.0, -0.0078125, 2.0, -1.0, 
0.0, -0.0078125, 3.0, -1.0, 
0.0, -0.0078125, 4.0, -1.0, 
0.0, -0.0078125, 5.0, -1.0, 
0.0, -0.0078125, 6.0, -1.0, 
0.0, -0.0078125, 7.0, -1.0, 
0.0, -0.0078125, 8.0, -1.0, 
0.0, -0.0078125, 9.0, -1.0, 
0.0, -0.0078125, 10.0, -1.0, 
0.0, -0.0078125, 11.0, -1.0, 
0.0, -0.0078125, 12.0, -1.0, 
0.0, -0.0078125, 13.0, -1.0, 
0.0, -0.0078125, 14.0, -1.0, 
0.0, -0.0078125, 15.0, -1.0, 
0.0, -0.0078125, 16.0, -1.0, 
0.0, -0.0078125, 17.0, -1.0, 
0.0, -0.0078125, 18.0, -1.0, 
0.0, -0.0078125, 19.0, -1.0, 
0.0, -0.0078125, 20.0, -1.0, 
0.0, -0.0078125, 21.0, -1.0, 
0.0, -0.0078125, 22.0, -1.0, 
0.0, -0.0078125, 23.0, -1.0, 
0.0, -0.0078125, 24.0, -1.0, 
0.0, -0.0078125, 25.0, -1.0, 
0.0, -0.0078125, 26.0, -1.0, 
0.0, -0.0078125, 27.0, -1.0, 
0.0, -0.0078125, 28.0, -1.0, 
0.0, -0.0078125, 29.0, -1.0, 
0.0, -0.0078125, 30.0, -1.0, 
0.0, -0.0078125, 31.0, -1.0, 
0.0, -0.0078125, 32.0, -1.0, 
0.0, -0.0078125, 33.0, -1.0, 
0.0, -0.0078125, 34.0, -1.0, 
0.0, -0.0078125, 35.0, -1.0, 
0.0, -0.0625, 36.0, -1.0, 
0.0, -0.1875, 37.0, -1.0, 
0.0, -0.2109375, 38.0, -1.0, 
0.0, -0.2109375, 39.0, -1.0, 
0.0, -0.21875, 40.0, -1.0, 
0.0, -0.2265625, 41.0, -1.0, 
0.0, -0.234375, 42.0, -1.0, 
0.0, -0.234375, 43.0, -1.0, 
0.0, -0.2421875, 44.0, -1.0, 
0.0, -0.25, 45.0, -1.0, 
0.0, -0.25, 46.0, -1.0, 
0.0, -0.25, 47.0, -1.0, 
0.0, -0.25, 48.0, -1.0, 
0.0, -0.2578125, 49.0, -1.0, 
0.0, -0.28125, 50.0, -1.0, 
0.0, -0.296875, 51.0, -1.0, 
0.0, -0.3046875, 52.0, -1.0, 
