joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, 0.0, 1.0, -1.0, 
0.0, 0.0, 2.0, -1.0, 
0.0, 0.0, 3.0, -1.0, 
0.0, 0.0, 4.0, -1.0, 
0.0, 0.0, 5.0, -1.0, 
0.0, 0.0, 6.0, -1.0, 
0.0, 0.0, 7.0, -1.0, 
0.0, 0.0, 8.0, -1.0, 
0.0, 0.0, 9.0, -1.0, 
0.0, 0.0, 10.0, -1.0, 
0.0, 0.0, 11.0, -1.0, 
0.0, 0.0, 12.0, -1.0, 
0.1, 0.0, 13.0, -1.0, 
0.1, 0.0, 14.0, -1.0, 
0.1, 0.0, 15.0, -1.0, 
0.1, 0.0, 16.0, -1.0, 
0.1, 0.0, 17.0, -1.0, 
0.2, 0.0, 18.0, -1.0, 
0.2, 0.0, 19.0, -1.0, 
0.2, 0.0, 20.0, -1.0, 
0.2, 0.0, 21.0, -1.0, 
0.2, 0.0, 22.0, -1.0, 
0.007874015718698502, 0.0, 23.0, -1.0, 
0.007874015718698502, 0.0, 24.0, -1.0, 
0.007874015718698502, 0.0, 25.0, -1.0, 
0.015748031437397003, 0.0, 26.0, -1.0, 
0.023622047156095505, 0.0, 27.0, -1.0, 
0.03937007859349251, 0.0, 28.0, -1.0, 
0.04724409431219101, 0.0, 29.0, -1.0, 
0.06299212574958801, 0.0, 30.0, -1.0, 
0.07874015718698502, 0.0, 31.0, -1.0, 
0.10236220806837082, 0.0, 32.0, -1.0, 
0.12598425149917603, 0.07086614519357681, 33.0, -1.0, 
0.14960630238056183, 0.11023622006177902, 34.0, -1.0, 
0.16535432636737823, 0.15748031437397003, 35.0, -1.0, 
0.18110236525535583, 0.18897637724876404, 36.0, -1.0, 
0.19685038924217224, 0.18897637724876404, 37.0, -1.0, 
0.21259842813014984, 0.22047244012355804, 38.0, -1.0, 
0.22834645211696625, 0.25196850299835205, 39.0, -1.0, 
0.24409449100494385, 0.27559053897857666, 40.0, -1.0, 
0.25984251499176025, 0.29133859276771545, 41.0, -1.0, 
0.27559053897857666, 0.30708661675453186, 42.0, -1.0, 
0.27559053897857666, 0.30708661675453186, 43.0, -1.0, 
0.29133859276771545, 0.32283464074134827, 44.0, -1.0, 
0.30708661675453186, 0.33070865273475647, 45.0, -1.0, 
0.32283464074134827, 0.33070865273475647, 46.0, -1.0, 
0.33070865273475647, 0.33070865273475647, 47.0, -1.0, 
0.3385826647281647, 0.33070865273475647, 48.0, -1.0, 
0.34645670652389526, 0.33070865273475647, 49.0, -1.0, 
0.34645670652389526, 0.33070865273475647, 50.0, -1.0, 
0.3385826647281647, 0.33070865273475647, 51.0, -1.0, 
0.34645670652389526, 0.33070865273475647, 52.0, -1.0, 
0.35433071851730347, 0.31496062874794006, 53.0, -1.0, 
0.36220473051071167, 0.14173229038715363, 54.0, -1.0, 
0.3700787425041199, 0.023622047156095505, 55.0, -1.0, 
0.3779527544975281, 0.0, 56.0, -1.0, 
0.3858267664909363, 0.0, 57.0, -1.0, 
0.3937007784843445, 0.0, 58.0, -1.0, 
0.4094488322734833, 0.0, 59.0, -1.0, 
0.4173228442668915, 0.0, 60.0, -1.0, 
0.4173228442668915, 0.0, 61.0, -1.0, 
0.4173228442668915, 0.0, 62.0, -1.0, 
0.4251968562602997, 0.0, 63.0, -1.0, 
0.4251968562602997, 0.0, 64.0, -1.0, 
0.4251968562602997, 0.0, 65.0, -1.0, 
0.4251968562602997, 0.0, 66.0, -1.0, 
0.4173228442668915, 0.0, 67.0, -1.0, 
0.4173228442668915, 0.0, 68.0, -1.0, 
0.4173228442668915, 0.0, 69.0, -1.0, 
0.4173228442668915, 0.0, 70.0, -1.0, 
0.4173228442668915, 0.0, 71.0, -1.0, 
0.4094488322734833, -0.0390625, 72.0, -1.0, 
0.4015747904777527, -0.0859375, 73.0, -1.0, 
0.4015747904777527, -0.140625, 74.0, -1.0, 
0.4015747904777527, -0.25, 75.0, -1.0, 
0.3858267664909363, -0.25, 76.0, -1.0, 
0.3779527544975281, -0.3515625, 77.0, -1.0, 
0.3700787425041199, -0.3828125, 78.0, -1.0, 
0.36220473051071167, -0.4140625, 79.0, -1.0, 
0.36220473051071167, -0.4609375, 80.0, -1.0, 
0.36220473051071167, -0.4921875, 81.0, -1.0, 
0.35433071851730347, -0.5078125, 82.0, -1.0, 
0.34645670652389526, -0.515625, 83.0, -1.0, 
0.3385826647281647, -0.515625, 84.0, -1.0, 
0.33070865273475647, -0.515625, 85.0, -1.0, 
0.33070865273475647, -0.515625, 86.0, -1.0, 
0.32283464074134827, -0.515625, 87.0, -1.0, 
0.32283464074134827, -0.515625, 88.0, -1.0, 
0.32283464074134827, -0.515625, 89.0, -1.0, 
0.32283464074134827, -0.515625, 90.0, -1.0, 
0.33070865273475647, -0.515625, 91.0, -1.0, 
0.33070865273475647, -0.515625, 92.0, -1.0, 
0.32283464074134827, -0.4921875, 93.0, -1.0, 
0.31496062874794006, -0.40625, 94.0, -1.0, 
0.31496062874794006, -0.296875, 95.0, -1.0, 
0.32283464074134827, -0.2421875, 96.0, -1.0, 
0.31496062874794006, -0.2109375, 97.0, -1.0, 
0.31496062874794006, -0.1796875, 98.0, -1.0, 
0.31496062874794006, -0.140625, 99.0, -1.0, 
0.31496062874794006, -0.1171875, 100.0, -1.0, 
0.31496062874794006, -0.1171875, 101.0, -1.0, 
0.30708661675453186, -0.078125, 102.0, -1.0, 
0.29133859276771545, -0.078125, 103.0, -1.0, 
0.28346458077430725, 0.1, 104.0, -1.0, 
0.26771652698516846, 0.1, 105.0, -1.0, 
0.25984251499176025, 0.1, 106.0, -1.0, 
0.25196850299835205, 0.1, 107.0, -1.0, 
0.25196850299835205, 0.1, 108.0, -1.0, 
0.25196850299835205, 0.1, 109.0, -1.0, 
0.25196850299835205, 0.05, 110.0, -1.0, 
0.25196850299835205, 0.05, 111.0, -1.0, 
0.25196850299835205, 0.05, 112.0, -1.0, 
0.25984251499176025, 0.05, 113.0, -1.0, 
0.26771652698516846, 0.05, 114.0, -1.0, 
0.26771652698516846, 0.05, 115.0, -1.0, 
0.27559053897857666, 0.05, 116.0, -1.0, 
0.29133859276771545, 0.05, 117.0, -1.0, 
0.29133859276771545, 0.05, 118.0, -1.0, 
0.29921260476112366, 0.05, 119.0, -1.0, 
0.31496062874794006, 0.0, 120.0, -1.0, 
0.31496062874794006, 0.0, 121.0, -1.0, 
0.31496062874794006, 0.0, 122.0, -1.0, 
0.31496062874794006, 0.0, 123.0, -1.0, 
0.31496062874794006, 0.0, 124.0, -1.0, 
0.30708661675453186, 0.0, 125.0, -1.0, 
0.30708661675453186, 0.0, 126.0, -1.0, 
0.29921260476112366, 0.0, 127.0, -1.0, 
0.29133859276771545, 0.0, 128.0, -1.0, 
0.27559053897857666, 0.0, 129.0, -1.0, 
0.25984251499176025, 0.0, 130.0, -1.0, 
