joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, 0.0, 1.0, -1.0, 
0.0, 0.0, 2.0, -1.0, 
0.0, 0.0, 3.0, -1.0, 
0.0, 0.0, 4.0, -1.0, 
0.0, 0.0, 5.0, -1.0, 
0.0, 0.0, 6.0, -1.0, 
-0.0390625, 0.0, 7.0, -1.0, 
-0.1171875, 0.0, 8.0, -1.0, 
-0.234375, 0.0, 9.0, -1.0, 
-0.3671875, 0.0, 10.0, -1.0, 
-0.4921875, 0.0, 11.0, -1.0, 
-0.625, 0.0, 12.0, -1.0, 
-0.75, 0.0, 13.0, -1.0, 
-0.8515625, 0.0, 14.0, -1.0, 
-0.8984375, 0.0, 15.0, -1.0, 
-0.9609375, 0.0, 16.0, -1.0, 
-1.0, 0.0, 17.0, -1.0, 
-1.0, 0.0, 18.0, -1.0, 
-1.0, 0.0, 19.0, -1.0, 
-1.0, 0.0, 20.0, -1.0, 
-1.0, 0.0, 21.0, -1.0, 
-1.0, 0.0, 22.0, -1.0, 
-1.0, 0.0, 23.0, -1.0, 
-1.0, 0.0, 24.0, -1.0, 
-1.0, 0.0, 25.0, -1.0, 
-1.0, 0.0, 26.0, -1.0, 
-1.0, 0.0, 27.0, -1.0, 
-1.0, 0.0, 28.0, -1.0, 
-0.9921875, 0.0, 29.0, -1.0, 
-0.984375, 0.0, 30.0, -1.0, 
-0.984375, 0.0, 31.0, -1.0, 
-0.984375, 0.0, 32.0, -1.0, 
-0.9765625, 0.0, 33.0, -1.0, 
-0.9765625, 0.0, 34.0, -1.0, 
-0.96875, 0.0, 35.0, -1.0, 
-0.96875, 0.0, 36.0, -1.0, 
-0.96875, 0.0, 37.0, -1.0, 
-0.9609375, 0.0, 38.0, -1.0, 
-0.9609375, 0.0, 39.0, -1.0, 
-0.9453125, 0.0, 40.0, -1.0, 
-0.9375, 0.0, 41.0, -1.0, 
-0.921875, -0.0390625, 42.0, -1.0, 
-0.90625, -0.0703125, 43.0, -1.0, 
-0.890625, -0.140625, 44.0, -1.0, 
-0.8671875, -0.28125, 45.0, -1.0, 
-0.859375, -0.3671875, 46.0, -1.0, 
-0.8515625, -0.3671875, 47.0, -1.0, 
-0.8515625, -0.3671875, 48.0, -1.0, 
-0.8359375, -0.3671875, 49.0, -1.0, 
-0.828125, -0.3671875, 50.0, -1.0, 
-0.828125, -0.3671875, 51.0, -1.0, 
-0.828125, -0.3671875, 52.0, -1.0, 
-0.828125, -0.3671875, 53.0, -1.0, 
-0.828125, -0.3671875, 54.0, -1.0, 
-0.8203125, -0.3671875, 55.0, -1.0, 
-0.8125, -0.3671875, 56.0, -1.0, 
-0.8046875, -0.3671875, 57.0, -1.0, 
-0.7890625, -0.2890625, 58.0, -1.0, 
-0.765625, -0.1875, 59.0, -1.0, 
-0.734375, -0.1328125, 60.0, -1.0, 
-0.7109375, -0.1015625, 61.0, -1.0, 
-0.6796875, -0.078125, 62.0, -1.0, 
-0.6328125, -0.078125, 63.0, -1.0, 
-0.5703125, -0.0703125, 64.0, -1.0, 
-0.5, -0.0625, 65.0, -1.0, 
-0.421875, -0.03125, 66.0, -1.0, 
-0.34375, 0.0, 67.0, -1.0, 
-0.2890625, 0.0, 68.0, -1.0, 
-0.2109375, 0.0, 69.0, -1.0, 
-0.1484375, 0.0, 70.0, -1.0, 
-0.0859375, 0.0, 71.0, -1.0, 
-0.03125, 0.0, 72.0, -1.0, 
