joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, -0.0546875, 1.0, -1.0, 
0.0, -0.0571875, 2.0, -1.0, 
0.0, -0.0011125, 3.0, -1.0, 
0.0, -0.0011125, 4.0, -1.0, 
0.0, -0.0011125, 5.0, -1.0, 
0.0, -0.0011125, 6.0, -1.0, 
0.0, -0.0011125, 7.0, -1.0, 
0.0, -0.0011125, 8.0, -1.0, 
0.0, -0.0011125, 9.0, -1.0, 
0.0, -0.0011125, 10.0, -1.0, 
0.0, -0.0011125, 11.0, -1.0, 
0.0, -0.0011125, 12.0, -1.0, 
0.0, -0.0011125, 13.0, -1.0, 
0.0, -0.0011125, 14.0, -1.0, 
0.007874015718698502, -0.0011125, 15.0, -1.0, 
0.007874015718698502, -0.0011125, 16.0, -1.0, 
0.007874015718698502, -0.0011125, 17.0, -1.0, 
0.007874015718698502, -0.0011125, 18.0, -1.0, 
0.007874015718698502, -0.0011125, 19.0, -1.0, 
0.007874015718698502, -0.0011125, 20.0, -1.0, 
0.007874015718698502, -0.0011125, 21.0, -1.0, 
0.023622047156095505, -0.0011125, 22.0, -1.0, 
0.023622047156095505, -0.0011125, 23.0, -1.0, 
0.023622047156095505, -0.0011125, 24.0, -1.0, 
0.023622047156095505, -0.0011125, 25.0, -1.0, 
0.023622047156095505, -0.0011125, 26.0, -1.0, 
0.023622047156095505, -0.0011125, 27.0, -1.0, 
0.023622047156095505, -0.0011125, 28.0, -1.0, 
0.023622047156095505, -0.0011125, 29.0, -1.0, 
0.023622047156095505, -0.0011125, 30.0, -1.0, 
0.023622047156095505, -0.0011125, 31.0, -1.0, 
0.023622047156095505, -0.0011125, 32.0, -1.0, 
0.023622047156095505, -0.0011125, 33.0, -1.0, 
0.031496062874794006, -0.0628125, 34.0, -1.0, 
0.031496062874794006, -0.0628125, 35.0, -1.0, 
0.05511811003088951, -0.0028125, 36.0, -1.0, 
0.06299212574958801, -0.0028125, 37.0, -1.0, 
0.07874015718698502, -0.0015625, 38.0, -1.0, 
0.12598425149917603, -0.0015625, 39.0, -1.0, 
0.14173229038715363, -0.0059375, 40.0, -1.0, 
0.14173229038715363, -0.0003125, 41.0, -1.0, 
0.16535432636737823, -0.0003125, 42.0, -1.0, 
0.18110236525535583, -0.0003125, 43.0, -1.0, 
0.18110236525535583, -0.0003125, 44.0, -1.0, 
0.19685038924217224, -0.0546875, 45.0, -1.0, 
0.19685038924217224, -0.0546875, 46.0, -1.0, 
0.19685038924217224, -0.0546875, 47.0, -1.0, 
0.19685038924217224, -0.0546875, 48.0, -1.0, 
0.21259842813014984, -0.0234375, 49.0, -1.0, 
0.22047244012355804, -0.0078125, 50.0, -1.0, 
0.22047244012355804, 0.0, 51.0, -1.0, 
0.22047244012355804, 0.0, 52.0, -1.0, 
0.21259842813014984, 0.0, 53.0, -1.0, 
0.22047244012355804, 0.0, 54.0, -1.0, 
0.22047244012355804, 0.007874015718698502, 55.0, -1.0, 
0.22047244012355804, 0.007874015718698502, 56.0, -1.0, 
0.22047244012355804, 0.007874015718698502, 57.0, -1.0, 
0.22834645211696625, 0.007874015718698502, 58.0, -1.0, 
0.23622047901153564, 0.007874015718698502, 59.0, -1.0, 
0.23622047901153564, 0.007874015718698502, 60.0, -1.0, 
0.23622047901153564, 0.007874015718698502, 61.0, -1.0, 
0.23622047901153564, 0.007874015718698502, 62.0, -1.0, 
0.23622047901153564, 0.007874015718698502, 63.0, -1.0, 
0.23622047901153564, 0.007874015718698502, 64.0, -1.0, 
0.25196850299835205, 0.007874015718698502, 65.0, -1.0, 
0.24409449100494385, 0.007874015718698502, 66.0, -1.0, 
0.24409449100494385, 0.007874015718698502, 67.0, -1.0, 
0.24409449100494385, 0.007874015718698502, 68.0, -1.0, 
0.25984251499176025, 0.031496062874794006, 69.0, -1.0, 
0.25984251499176025, 0.007874015718698502, 70.0, -1.0, 
0.27559053897857666, 0.031496062874794006, 71.0, -1.0, 
0.29921260476112366, 0.031496062874794006, 72.0, -1.0, 
0.29921260476112366, 0.04724409431219101, 73.0, -1.0, 
0.29921260476112366, 0.04724409431219101, 74.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 75.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 76.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 77.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 78.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 79.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 80.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 81.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 82.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 83.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 84.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 85.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 86.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 87.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 88.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 89.0, -1.0, 
0.31496062874794006, 0.00086614519357681, 90.0, -1.0, 
0.31496062874794006, 0.04724409431219101, 91.0, -1.0, 
0.31496062874794006, 0.04724409431219101, 92.0, -1.0, 
0.31496062874794006, 0.04724409431219101, 93.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 94.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 95.0, -1.0, 
0.31496062874794006, 0.00724409431219101, 96.0, -1.0, 
0.31496062874794006, 0.001496062874794006, 97.0, -1.0, 
0.31496062874794006, 0.001496062874794006, 98.0, -1.0, 
0.31496062874794006, 0.007874015718698502, 99.0, -1.0, 
0.31496062874794006, 0.0, 100.0, -1.0, 
0.31496062874794006, 0.0, 101.0, -1.0, 
0.31496062874794006, 0.0, 102.0, -1.0, 
0.31496062874794006, 0.0, 103.0, -1.0, 
0.3385826647281647, 0.0, 104.0, -1.0, 
0.3385826647281647, -0.0078125, 105.0, -1.0, 
0.3385826647281647, -0.0078125, 106.0, -1.0, 
0.3385826647281647, -0.0078125, 107.0, -1.0, 
