joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, 0.0, 1.0, -1.0, 
0.0, 0.0, 2.0, -1.0, 
0.0, 0.0, 3.0, -1.0, 
0.0, 0.0, 4.0, -1.0, 
0.0, 0.0, 5.0, -1.0, 
0.0, 0.0, 6.0, -1.0, 
0.0, 0.0, 7.0, -1.0, 
0.0, 0.0, 8.0, -1.0, 
0.0, 0.0, 9.0, -1.0, 
-0.03125, 0.0, 10.0, -1.0, 
-0.140625, 0.0, 11.0, -1.0, 
-0.140625, 0.0, 12.0, -1.0, 
-0.2265625, 0.0, 13.0, -1.0, 
-0.3046875, 0.0, 14.0, -1.0, 
-0.390625, 0.0, 15.0, -1.0, 
-0.5546875, 0.0, 16.0, -1.0, 
-0.5546875, 0.0, 17.0, -1.0, 
-0.6171875, 0.0, 18.0, -1.0, 
-0.7109375, 0.0, 19.0, -1.0, 
-0.7109375, 0.0, 20.0, -1.0, 
-0.78125, 0.0, 21.0, -1.0, 
-0.78125, 0.0, 22.0, -1.0, 
-0.8046875, 0.0, 23.0, -1.0, 
-0.8203125, 0.0, 24.0, -1.0, 
-0.828125, 0.0, 25.0, -1.0, 
-0.828125, 0.0, 26.0, -1.0, 
-0.828125, 0.0, 27.0, -1.0, 
-0.828125, -0.03125, 28.0, -1.0, 
-0.8203125, -0.0859375, 29.0, -1.0, 
-0.8203125, -0.15625, 30.0, -1.0, 
-0.8203125, -0.2265625, 31.0, -1.0, 
-0.8203125, -0.2578125, 32.0, -1.0, 
-0.8203125, -0.2578125, 33.0, -1.0, 
-0.8125, -0.3125, 34.0, -1.0, 
-0.8125, -0.3125, 35.0, -1.0, 
-0.8046875, -0.34375, 36.0, -1.0, 
-0.796875, -0.3515625, 37.0, -1.0, 
-0.796875, -0.3515625, 38.0, -1.0, 
-0.796875, -0.3515625, 39.0, -1.0, 
-0.7890625, -0.3671875, 40.0, -1.0, 
-0.7890625, -0.3828125, 41.0, -1.0, 
-0.7890625, -0.390625, 42.0, -1.0, 
-0.7890625, -0.390625, 43.0, -1.0, 
-0.7890625, -0.390625, 44.0, -1.0, 
-0.7890625, -0.3984375, 45.0, -1.0, 
-0.7890625, -0.3984375, 46.0, -1.0, 
-0.78125, -0.3984375, 47.0, -1.0, 
-0.78125, -0.3984375, 48.0, -1.0, 
-0.7734375, -0.3984375, 49.0, -1.0, 
-0.765625, -0.3984375, 50.0, -1.0, 
-0.765625, -0.3984375, 51.0, -1.0, 
-0.7578125, -0.3984375, 52.0, -1.0, 
-0.7578125, -0.3984375, 53.0, -1.0, 
-0.7578125, -0.3984375, 54.0, -1.0, 
-0.7578125, -0.3984375, 55.0, -1.0, 
-0.75, -0.3984375, 56.0, -1.0, 
-0.7421875, -0.3984375, 57.0, -1.0, 
-0.7421875, -0.3984375, 58.0, -1.0, 
-0.7421875, -0.3984375, 59.0, -1.0, 
-0.7265625, -0.3984375, 60.0, -1.0, 
-0.7265625, -0.3984375, 61.0, -1.0, 
-0.71875, -0.3984375, 62.0, -1.0, 
-0.7109375, -0.390625, 63.0, -1.0, 
-0.7109375, -0.390625, 64.0, -1.0, 
-0.703125, -0.2109375, 65.0, -1.0, 
-0.703125, -0.2109375, 66.0, -1.0, 
-0.703125, -0.03125, 67.0, -1.0, 
-0.703125, -0.03125, 68.0, -1.0, 
-0.703125, -0.03125, 69.0, -1.0, 
-0.6953125, 0.0, 70.0, -1.0, 
-0.6953125, 0.0, 71.0, -1.0, 
-0.6953125, 0.0, 72.0, -1.0, 
-0.6875, 0.0, 73.0, -1.0, 
-0.671875, 0.0, 74.0, -1.0, 
-0.671875, 0.0, 75.0, -1.0, 
-0.6640625, 0.0, 76.0, -1.0, 
-0.6484375, 0.0, 77.0, -1.0, 
-0.5859375, 0.0, 78.0, -1.0, 
-0.5859375, 0.0, 79.0, -1.0, 
-0.5390625, 0.0, 80.0, -1.0, 
-0.4140625, 0.0, 81.0, -1.0, 
-0.4140625, 0.0, 82.0, -1.0, 
-0.296875, 0.0, 83.0, -1.0, 
-0.296875, 0.0, 84.0, -1.0, 
-0.2265625, 0.0, 85.0, -1.0, 
-0.171875, 0.0, 86.0, -1.0, 
-0.125, 0.0, 87.0, -1.0, 
-0.0625, 0.0, 88.0, -1.0, 
-0.0625, 0.0, 89.0, -1.0, 
-0.0390625, 0.0, 90.0, -1.0, 
-0.0234375, 0.0, 91.0, -1.0, 
-0.015625, 0.0, 92.0, -1.0, 
0.0, 0.0, 93.0, -1.0, 
0.0, 0.0, 94.0, -1.0, 
0.0, 0.0, 95.0, -1.0, 
0.0, 0.0, 96.0, -1.0, 
0.0, 0.0, 97.0, -1.0
