joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, -0.0, 1.0, -1.0, 
0.0, -0.0, 2.0, -1.0, 
0.0, -0.0, 3.0, -1.0, 
0.0, -0.0, 4.0, -1.0, 
0.0, -0.0, 5.0, -1.0, 
0.0, -0.0, 6.0, -1.0, 
-0.03125, 0.0, 7.0, -1.0, 
-0.03125, 0.0, 8.0, -1.0, 
-0.078125, 0.0, 9.0, -1.0, 
-0.078125, 0.0, 10.0, -1.0, 
-0.078125, 0.0, 11.0, -1.0, 
-0.078125, 0.0, 12.0, -1.0, 
-0.078125, 0.0, 13.0, -1.0, 
-0.15625, 0.0, 14.0, -1.0, 
-0.15625, 0.0, 15.0, -1.0, 
-0.2421875, 0.0, 16.0, -1.0, 
-0.2421875, 0.0, 17.0, -1.0, 
-0.2421875, 0.0, 18.0, -1.0, 
-0.296875, 0.0, 19.0, -1.0, 
-0.296875, 0.0, 20.0, -1.0, 
-0.296875, 0.0, 21.0, -1.0, 
-0.296875, 0.0, 22.0, -1.0, 
-0.3984375, 0.0, 23.0, -1.0, 
-0.3984375, 0.0, 24.0, -1.0, 
-0.3984375, 0.0, 25.0, -1.0, 
-0.3984375, 0.0, 26.0, -1.0, 
-0.3984375, 0.0, 27.0, -1.0, 
-0.5, 0.0, 28.0, -1.0, 
-0.5, 0.0, 29.0, -1.0, 
-0.5, 0.0, 30.0, -1.0, 
-0.5, 0.0, 31.0, -1.0, 
-0.5, 0.0, 32.0, -1.0, 
-0.5, 0.0, 33.0, -1.0, 
-0.6015625, 0.0, 34.0, -1.0, 
-0.6015625, 0.0, 35.0, -1.0, 
-0.6015625, 0.0, 36.0, -1.0, 
-0.6015625, 0.0, 37.0, -1.0, 
-0.6875, 0.0, 38.0, -1.0, 
-0.6875, 0.0, 39.0, -1.0, 
-0.6875, 0.0, 40.0, -1.0, 
-0.6875, 0.0, 41.0, -1.0, 
-0.765625, 0.0, 42.0, -1.0, 
-0.84375, 0.0, 43.0, -1.0, 
-0.90625, 0.0, 44.0, -1.0, 
-0.953125, 0.0, 45.0, -1.0, 
-0.9921875, 0.0, 46.0, -1.0, 
-1.0, 0.0, 47.0, -1.0, 
-1.0, 0.0, 48.0, -1.0, 
-1.0, 0.0, 49.0, -1.0, 
-1.0, 0.0, 50.0, -1.0, 
-1.0, -0.2265625, 62.0, -1.0, 
-1.0, -0.2734375, 63.0, -1.0, 
-1.0, -0.296875, 64.0, -1.0, 
-1.0, -0.296875, 65.0, -1.0, 
-1.0, -0.3046875, 66.0, -1.0, 
-1.0, -0.3046875, 67.0, -1.0, 
-1.0, -0.3125, 68.0, -1.0, 
-1.0, -0.328125, 69.0, -1.0, 
-1.0, -0.328125, 70.0, -1.0, 
-1.0, -0.34375, 71.0, -1.0, 
-1.0, -0.390625, 72.0, -1.0, 
-0.9921875, -0.421875, 73.0, -1.0, 
-0.9921875, -0.4296875, 74.0, -1.0, 
-0.984375, -0.453125, 75.0, -1.0, 
-0.9765625, -0.453125, 76.0, -1.0, 
-0.96875, -0.4765625, 77.0, -1.0, 
-0.96875, -0.4765625, 78.0, -1.0, 
-0.9609375, -0.5078125, 79.0, -1.0, 
-0.953125, -0.515625, 80.0, -1.0, 
-0.953125, -0.5234375, 81.0, -1.0, 
-0.9375, -0.53125, 82.0, -1.0, 
-0.921875, -0.53125, 83.0, -1.0, 
-0.8984375, -0.53125, 84.0, -1.0, 
-0.875, -0.53125, 85.0, -1.0, 
-0.8515625, -0.53125, 86.0, -1.0, 
-0.8359375, -0.53125, 87.0, -1.0, 
-0.8203125, -0.53125, 88.0, -1.0, 
-0.8046875, -0.53125, 89.0, -1.0, 
-0.7890625, -0.53125, 90.0, -1.0, 
-0.765625, -0.53125, 91.0, -1.0, 
-0.7421875, -0.53125, 92.0, -1.0, 
-0.6953125, -0.53125, 93.0, -1.0, 
-0.625, -0.596875, 94.0, -1.0, 
-0.546875, 0.0, 95.0, -1.0, 
-0.4609375, 0.0, 96.0, -1.0, 
-0.375, 0.0, 97.0, -1.0, 
-0.3046875, 0.0, 98.0, -1.0, 
-0.25, 0.0, 99.0, -1.0, 
-0.234375, 0.0, 100.0, -1.0, 
-0.203125, 0.0, 101.0, -1.0, 
-0.1796875, 0.0, 102.0, -1.0, 
-0.1640625, 0.0, 103.0, -1.0, 
-0.140625, 0.0, 104.0, -1.0, 
-0.1328125, 0.0, 105.0, -1.0, 
-0.1171875, 0.0, 106.0, -1.0, 
-0.1015625, 0.0, 107.0, -1.0, 
-0.09375, 0.0, 108.0, -1.0, 
-0.0859375, 0.0, 109.0, -1.0, 
-0.078125, 0.0, 110.0, -1.0, 
-0.0703125, 0.0, 111.0, -1.0, 
-0.0546875, 0.0, 112.0, -1.0, 
-0.046875, 0.0, 113.0, -1.0, 
-0.0390625, 0.0, 114.0, -1.0, 
-0.03125, 0.0, 115.0, -1.0, 
-0.0234375, 0.0, 116.0, -1.0, 
-0.0078125, 0.0, 117.0, -1.0
