joystick value y, joystick twist, right encoder, left encoder, 
, , rpm, rpm, 
0.0, 0.0, 1.0, -1.0, 
0.0, 0.0, 2.0, -1.0, 
0.0, 0.0, 3.0, -1.0, 
0.0, 0.0, 4.0, -1.0, 
0.0, 0.0, 5.0, -1.0, 
0.0, 0.0, 6.0, -1.0, 
0.0, 0.0, 7.0, -1.0, 
0.0, 0.0, 8.0, -1.0, 
0.0, 0.0, 9.0, -1.0, 
0.0, 0.0, 10.0, -1.0, 
0.0, 0.0, 11.0, -1.0, 
0.0, 0.0, 12.0, -1.0, 
0.0, 0.0, 13.0, -1.0, 
0.0, 0.0, 14.0, -1.0, 
0.0, 0.0, 15.0, -1.0, 
0.0, 0.0, 16.0, -1.0, 
0.0, 0.0, 17.0, -1.0, 
0.0, 0.0, 18.0, -1.0, 
0.0, 0.0, 19.0, -1.0, 
0.0, 0.0, 20.0, -1.0, 
0.0, 0.0, 21.0, -1.0, 
0.0, 0.0, 22.0, -1.0, 
0.0, 0.0, 23.0, -1.0, 
0.0, 0.0, 24.0, -1.0, 
0.0, 0.0, 25.0, -1.0, 
0.0, 0.0, 26.0, -1.0, 
0.0, 0.0, 27.0, -1.0, 
0.0, 0.0, 28.0, -1.0, 
0.0, 0.0, 29.0, -1.0, 
0.0, 0.0, 30.0, -1.0, 
0.0, 0.0, 31.0, -1.0, 
0.0, 0.0, 32.0, -1.0, 
0.0, 0.0, 33.0, -1.0, 
0.0, 0.0, 34.0, -1.0, 
0.0, 0.0, 35.0, -1.0, 
0.0, 0.0, 36.0, -1.0, 
0.0, -0.0078125, 37.0, -1.0, 
0.0, -0.0078125, 38.0, -1.0, 
0.0, -0.03125, 39.0, -1.0, 
0.0, -0.1015625, 40.0, -1.0, 
0.0, -0.1015625, 41.0, -1.0, 
0.0, -0.125, 42.0, -1.0, 
0.0, -0.125, 43.0, -1.0, 
0.0, -0.125, 44.0, -1.0, 
0.0, -0.125, 45.0, -1.0, 
0.05511811003088951, -0.125, 46.0, -1.0, 
0.08661417663097382, -0.125, 47.0, -1.0, 
0.11811023950576782, -0.125, 48.0, -1.0, 
0.14960630238056183, -0.125, 49.0, -1.0, 
0.14960630238056183, -0.125, 50.0, -1.0, 
0.14960630238056183, -0.125, 51.0, -1.0, 
0.16535432636737823, -0.125, 52.0, -1.0, 
0.18897637724876404, -0.125, 53.0, -1.0, 
0.22834645211696625, -0.125, 54.0, -1.0, 
0.25196850299835205, -0.125, 55.0, -1.0, 
0.26771652698516846, -0.125, 56.0, -1.0, 
0.29133859276771545, -0.125, 57.0, -1.0, 
0.29133859276771545, -0.125, 58.0, -1.0, 
0.29133859276771545, -0.125, 59.0, -1.0, 
0.30708661675453186, -0.125, 60.0, -1.0, 
0.30708661675453186, -0.125, 61.0, -1.0, 
0.32283464074134827, -0.125, 62.0, -1.0, 
0.33070865273475647, -0.125, 63.0, -1.0, 
0.33070865273475647, -0.125, 64.0, -1.0, 
0.34645670652389526, -0.125, 65.0, -1.0, 
0.35433071851730347, -0.125, 66.0, -1.0, 
0.3700787425041199, -0.125, 67.0, -1.0, 
0.3700787425041199, -0.125, 68.0, -1.0, 
0.3858267664909363, -0.1015625, 69.0, -1.0, 
0.3858267664909363, -0.15625, 70.0, -1.0, 
0.3858267664909363, -0.125, 71.0, -1.0, 
0.4094488322734833, -0.125, 72.0, -1.0, 
0.4094488322734833, -0.125, 73.0, -1.0, 
0.4094488322734833, -0.15625, 74.0, -1.0, 
0.4330708682537079, -0.15625, 75.0, -1.0, 
0.4330708682537079, -0.15625, 76.0, -1.0, 
0.4094488322734833, -0.15625, 77.0, -1.0, 
0.4094488322734833, -0.15625, 78.0, -1.0, 
0.4094488322734833, -0.125, 79.0, -1.0, 
0.4094488322734833, -0.15625, 80.0, -1.0, 
0.4094488322734833, -0.15625, 81.0, -1.0, 
0.4094488322734833, -0.15625, 82.0, -1.0, 
0.4094488322734833, -0.125, 83.0, -1.0, 
0.4015747904777527, -0.15625, 84.0, -1.0, 
0.3779527544975281, -0.15625, 85.0, -1.0, 
0.3779527544975281, -0.15625, 86.0, -1.0, 
0.30708661675453186, -0.15625, 87.0, -1.0, 
0.25196850299835205, -0.15625, 88.0, -1.0, 
0.22834645211696625, -0.15625, 89.0, -1.0, 
0.19685038924217224, -0.15625, 90.0, -1.0, 
0.12598425149917603, -0.078125, 91.0, -1.0, 
0.08661417663097382, -0.0078125, 92.0, -1.0, 
-0.0078125, 0.0, 93.0, -1.0, 
-0.0078125, 0.0, 94.0, -1.0, 
-0.03125, 0.0, 95.0, -1.0, 
-0.0703125, 0.0, 96.0, -1.0, 
-0.125, 0.0, 97.0, -1.0, 
-0.1484375, 0.0, 98.0, -1.0, 
-0.1484375, 0.0, 99.0, -1.0, 
-0.2109375, 0.0, 100.0, -1.0, 
-0.265625, 0.0, 101.0, -1.0, 
-0.28125, 0.0, 102.0, -1.0, 
-0.34375, 0.0, 103.0, -1.0, 
-0.390625, 0.0, 104.0, -1.0, 
-0.4296875, 0.0, 105.0, -1.0, 
-0.4453125, 0.0, 106.0, -1.0, 
-0.46875, 0.0, 107.0, -1.0, 
-0.46875, 0.0, 108.0, -1.0, 
-0.5078125, 0.0, 109.0, -1.0, 
-0.5078125, 0.0, 110.0, -1.0, 
-0.5078125, 0.0, 111.0, -1.0, 
-0.5078125, 0.0, 112.0, -1.0, 
-0.5078125, 0.0, 113.0, -1.0, 
-0.5078125, 0.0, 114.0, -1.0, 
-0.5078125, 0.0, 115.0, -1.0, 
-0.5078125, 0.0, 116.0, -1.0, 
-0.5078125, 0.0, 117.0, -1.0, 
-0.515625, 0.0, 118.0, -1.0, 
-0.5234375, 0.0, 119.0, -1.0, 
-0.5234375, 0.0, 120.0, -1.0, 
-0.5234375, 0.0, 121.0, -1.0, 
-0.5234375, 0.0, 122.0, -1.0, 
-0.5234375, 0.0, 123.0, -1.0, 
-0.5234375, 0.0, 124.0, -1.0, 
-0.5234375, 0.0, 125.0, -1.0, 
-0.5234375, 0.0, 126.0, -1.0, 
-0.5234375, 0.0, 127.0, -1.0, 
-0.5234375, 0.0, 128.0, -1.0, 
-0.5234375, 0.0, 129.0, -1.0, 
-0.5234375, 0.0, 130.0, -1.0, 
-0.5234375, 0.0, 131.0, -1.0, 
-0.5234375, 0.0, 132.0, -1.0, 
-0.5234375, 0.0, 133.0, -1.0, 
-0.5234375, 0.0, 134.0, -1.0, 
-0.5234375, 0.0, 135.0, -1.0, 
-0.5234375, 0.0, 136.0, -1.0, 
-0.53125, 0.0, 137.0, -1.0, 
-0.546875, 0.0, 138.0, -1.0, 
-0.5625, 0.0, 139.0, -1.0, 
-0.578125, 0.0, 140.0, -1.0, 
-0.6015625, 0.0, 141.0, -1.0, 
-0.609375, 0.0, 142.0, -1.0, 
-0.625, 0.0, 143.0, -1.0, 
-0.625, 0.0, 144.0, -1.0, 
